centroid_id,centroid_x,centroid_y,buffer_m,buffer_km,n_stations
215,342377.7382251475,4295592.387970178,6000.0,6.0,4
216,342399.7743680589,4296702.181433559,6000.0,6.0,4
217,342421.81532814505,4297811.97661098,6000.0,6.0,6
235,341509.2324099509,4295609.678749802,6000.0,6.0,4
236,341531.39007329766,4296719.473547131,6000.0,6.0,4
243,354435.10434956604,4289811.449108145,6000.0,6.0,3
244,354455.417151668,4290921.215953826,6000.0,6.0,4
245,354475.73440261424,4292030.984541116,6000.0,6.0,5
246,354496.0561018024,4293140.754870154,6000.0,6.0,7
247,354516.3822486298,4294250.526941075,6000.0,6.0,7
248,354536.71284249367,4295360.300754023,6000.0,6.0,8
249,354557.0478827912,4296470.076309136,6000.0,6.0,11
250,354577.38736891915,4297579.853606552,6000.0,6.0,12
272,348499.62580933433,4297693.585310403,6000.0,6.0,8
273,348520.82062116324,4298803.373097703,6000.0,6.0,10
274,348542.02006324474,4299913.162613734,6000.0,6.0,13
275,348563.2241349498,4301022.953858636,6000.0,6.0,14
276,348584.4328356497,4302132.746832544,6000.0,6.0,13
288,348393.72122597636,4292144.672300079,6000.0,6.0,4
289,348414.8928771153,4293254.451445782,6000.0,6.0,5
290,348436.06916164875,4294364.232319525,6000.0,6.0,8
291,348457.25007894856,4295474.014921452,6000.0,6.0,8
292,348478.43562838656,4296583.799251701,6000.0,6.0,8
315,353545.5758271703,4288717.636233918,6000.0,6.0,2
316,353566.00551686157,4289827.402581458,6000.0,6.0,2
317,353586.4396825477,4290937.17066852,6000.0,6.0,5
318,353606.8783236229,4292046.940495249,6000.0,6.0,6
319,353627.3214394809,4293156.712061781,6000.0,6.0,8
321,353647.76902951533,4294266.485368256,6000.0,6.0,9
322,353668.22109312005,4295376.260414815,6000.0,6.0,8
323,353688.67762968846,4296486.0372015955,6000.0,6.0,12
324,353709.13863861375,4297595.815728732,6000.0,6.0,13
325,353729.6041192893,4298705.5959963715,6000.0,6.0,14
330,347716.6636400138,4302149.379686196,6000.0,6.0,14
346,347524.85821872915,4292161.293626591,6000.0,6.0,4
347,347546.1512983842,4293271.074061182,6000.0,6.0,4
348,347567.449037969,4294380.856221793,6000.0,6.0,7
349,347588.75143685186,4295490.640108562,6000.0,6.0,8
350,347610.05849440105,4296600.425721629,6000.0,6.0,8
351,347631.37020998425,4297710.213061126,6000.0,6.0,9
352,347652.6865829696,4298820.002127196,6000.0,6.0,9
353,347674.0076127246,4299929.792919972,6000.0,6.0,12
354,347695.33329861687,4301039.585439593,6000.0,6.0,15
375,351807.1325494589,4288749.825776631,6000.0,6.0,3
376,351827.80491822294,4289859.594632952,6000.0,6.0,3
377,351848.4818160774,4290969.365224874,6000.0,6.0,4
378,351869.163242409,4292079.137552543,6000.0,6.0,6
379,351889.84919660457,4293188.911616095,6000.0,6.0,8
380,351910.5396780503,4294298.687415671,6000.0,6.0,8
381,351931.23468613287,4295408.46495141,6000.0,6.0,9
383,351951.93422023853,4296518.24422345,6000.0,6.0,12
392,351972.63827975316,4297628.025231927,6000.0,6.0,12
393,351993.3468640627,4298737.807976982,6000.0,6.0,14
394,352014.05997255316,4299847.59245875,6000.0,6.0,14
395,352034.77760461014,4300957.378677374,6000.0,6.0,16
408,345808.665102093,4293304.604490998,6000.0,6.0,5
409,345830.205756985,4294414.389247327,6000.0,6.0,6
410,345851.7511242377,4295524.175725732,6000.0,6.0,7
411,345873.3012032118,4296633.963926352,6000.0,6.0,7
412,345894.8559932681,4297743.753849318,6000.0,6.0,7
413,345916.4154937672,4298853.5454947725,6000.0,6.0,9
414,345937.97970406944,4299963.338862852,6000.0,6.0,9
415,345959.5486235352,4301073.133953691,6000.0,6.0,12
416,345981.12225152453,4302182.930767429,6000.0,6.0,11
424,345787.1291602005,4292194.821456605,6000.0,6.0,3
450,345026.5973645018,4297760.666889512,6000.0,6.0,7
451,345048.27843137796,4298870.459835582,6000.0,6.0,7
452,345069.96423457353,4299980.254502217,6000.0,6.0,9
453,345091.6547734454,4301090.0508895535,6000.0,6.0,11
482,350958.7031407437,4289875.833213751,6000.0,6.0,3
483,350979.50140720175,4290985.605069152,6000.0,6.0,4
484,351000.3042286809,4292095.378658324,6000.0,6.0,5
485,351021.1116045639,4293205.153981402,6000.0,6.0,8
486,351041.92353423365,4294314.931038523,6000.0,6.0,9
487,351062.740017073,4295424.7098298315,6000.0,6.0,9
488,351083.56105246465,4296534.490355463,6000.0,6.0,11
489,351104.38663979096,4297644.272615552,6000.0,6.0,10
490,351125.2167784341,4298754.056610242,6000.0,6.0,14
491,351146.0514677766,4299863.842339669,6000.0,6.0,15
492,351166.8907072003,4300973.62980397,6000.0,6.0,15
494,344918.2630974201,4292211.727962835,6000.0,6.0,4
495,344939.9204730539,4293321.512308138,6000.0,6.0,4
496,344961.5825882215,4294431.298373318,6000.0,6.0,4
497,344983.2494422806,4295541.086158517,6000.0,6.0,5
498,345004.92103458836,4296650.87566387,6000.0,6.0,7
507,343180.5278760677,4292245.826164618,6000.0,6.0,5
508,343202.4281244781,4293355.6131537575,6000.0,6.0,5
509,343224.3331654904,4294465.401858623,6000.0,6.0,4
510,343246.24299845484,4295575.192279355,6000.0,6.0,4
511,343268.1576227214,4296684.984416088,6000.0,6.0,4
512,343290.0770376398,4297794.7782689575,6000.0,6.0,6
513,343312.00124256,4298904.573838103,6000.0,6.0,7
514,343333.9302368313,4300014.3711236585,6000.0,6.0,6
