,id_i,id_j,dist_m,n_samples,corr,gamma_semi,gamma_vario
7341,16045,16046,14885.964129580372,19,0.9634535316682739,6.845487157894735,6.822611678670358
7342,16045,16036,11990.790398159059,19,0.9592888347130086,14.016949894736841,13.05046089750693
7343,16045,16047,8598.208943824797,19,0.9927822538123716,2.797957052631579,2.6249612409972314
7344,16045,16034,11514.63947526749,19,0.7936180264436853,21.242741894736838,20.779513440443218
7345,16045,16005,18835.821900974777,19,0.9162297806008269,21.894693052631578,19.372671468144052
7346,16045,16050,20565.774823354455,19,0.8870227370263771,26.621338947368425,24.099317362880896
7347,4150,3740,9504.121153990758,19,0.7978957085839445,1.9558534736842104,1.9558534736842106
7348,4150,3880,3690.9331882717893,19,0.8354501815085265,1.6842071578947369,1.6613316786703607
7349,4150,7020,17306.12981167535,19,0.6852773249388837,3.1782618947368424,3.1082057396121887
7350,4150,7030,16545.381160205055,19,0.3437018978016904,19.892999263157897,19.515464498614957
7351,4150,3760,19916.747097325402,19,0.9585108542043399,2.5263107368421056,2.2846884875346274
7353,4150,3690,8790.816609220505,19,0.9154514766847244,2.308993684210526,2.1931865706371205
7354,4150,16025,40137.77387745095,19,0.2070828661214977,107.6262703157895,104.05197668698065
7355,4150,16023,43115.8442808766,19,0.20524640314840986,172.63123368421046,165.42402801108034
7356,4150,16024,41551.33073431032,19,0.20452955650162588,86.54651621052632,83.5212340831025
7357,4150,16021,40728.97026855287,19,0.20539056345141085,118.60078147368421,114.11718754570634
7358,4150,16022,40466.51975377216,19,0.20690736450126512,94.72307031578947,91.29031871468142
7359,4150,16026,41253.76764454649,19,0.2011901234123226,132.23742652631577,126.00957730747919
7360,4150,16027,38110.97857668435,19,0.2059553385679632,92.4955705263158,89.33732467590028
7361,4150,16020,38962.916917810966,19,0.20323616050036297,94.94038736842106,91.507635767313
7362,4150,16019,37063.34802897383,19,0.19948158606477384,54.546580210526315,52.693666393351826
7363,4150,16053,26502.16585583648,19,0.20415336394916972,15.429510736842106,15.406635257617719
7364,4150,16052,24319.350257033406,19,0.24870938691190297,8.99149305263158,8.990063335180055
7365,4150,16054,22945.589135815088,19,0.17793760544029177,8.040730947368422,8.035012077562326
7366,4150,16051,21764.402393469994,19,0.18466611787166456,9.752102736842104,9.75067301939058
7367,4150,3000,20361.05695067478,19,0.3400463577607624,6.057712842105263,6.044845385041551
7368,4150,2900,19301.664825919288,19,0.43977598727906697,4.780975157894737,4.75809967867036
7369,4150,1010,17421.080335966224,19,0.8136447860480055,1.8200303157894737,1.81860059833795
7370,4150,16032,49274.66014561201,19,0.20700076230487632,171.30016673684204,165.07231751800552
7371,4150,16033,53709.91819000326,19,0.18586751567192003,30.859021473684212,29.8925324764543
7372,4150,16031,52970.01506817495,19,0.1589842758596263,19.151065263157896,18.63493726315789
7373,4150,16046,50336.80289374363,19,0.19653521133246016,78.88609010526316,75.31179647645428
7374,4150,16036,50970.41839898793,19,0.13124147444179365,20.645119999999995,20.073233019390585
7375,4150,16047,48432.52800342313,19,0.15891282016211578,38.60094147368421,36.84953759556787
7376,4150,16034,52433.983883641515,19,0.06396294765575165,31.619631157894734,30.498732675900282
7377,4150,16005,23696.520197018308,19,0.24952189830506125,13.745303578947366,13.722428099722986
7378,4150,16050,22340.580136973684,19,0.18516940450238062,12.006767157894734,11.98389167867036
7379,3740,3880,8491.57371947913,19,0.9624829227222454,0.48896336842105265,0.466087889196676
7380,3740,7020,20086.716645754183,19,0.5181770647777867,2.254664421052632,2.1846082659279777
7381,3740,7030,25314.895656304405,19,0.6312143849484689,14.813213157894737,14.435678393351798
