centroid_id,centroid_x,centroid_y,buffer_m,buffer_km,n_stations
355,340086.2729270436,4311181.865850284,5000.0,5.0,6
356,340108.7421304865,4312291.6872574175,5000.0,5.0,5
357,340131.21622134873,4313401.510374128,5000.0,5.0,5
358,340153.6951989633,4314511.335200548,5000.0,5.0,4
359,340176.1790626632,4315621.161736814,5000.0,5.0,6
360,340198.66781178105,4316730.989983052,5000.0,5.0,8
361,340221.16144564946,4317840.819939403,5000.0,5.0,7
362,340243.6599636008,4318950.651605991,5000.0,5.0,7
363,340266.16336496745,4320060.4849829525,5000.0,5.0,5
364,340288.6716490815,4321170.3200704185,5000.0,5.0,4
365,339219.46772609634,4311199.460691922,5000.0,5.0,6
366,339242.05882637354,4312309.283424933,5000.0,5.0,6
367,339264.65484054066,4313419.10786538,5000.0,5.0,4
368,339287.25576792704,4314528.934013394,5000.0,5.0,4
369,339309.8616078619,4315638.76186911,5000.0,5.0,4
370,339332.4723596743,4316748.591432656,5000.0,5.0,7
371,339355.0880226933,4317858.4227041695,5000.0,5.0,6
372,339377.7085962476,4318968.255683779,5000.0,5.0,5
373,339400.33407966583,4320078.090371619,5000.0,5.0,4
374,339422.9644722765,4321187.926767819,5000.0,5.0,4
375,351807.1325494589,4288749.825776631,5000.0,5.0,1
376,351827.80491822294,4289859.594632952,5000.0,5.0,3
377,351848.4818160774,4290969.365224874,5000.0,5.0,3
378,351869.163242409,4292079.137552543,5000.0,5.0,4
379,351889.84919660457,4293188.911616095,5000.0,5.0,5
380,351910.5396780503,4294298.687415671,5000.0,5.0,8
381,351931.23468613287,4295408.46495141,5000.0,5.0,8
382,358189.4681046753,4305285.412121484,5000.0,5.0,6
383,351951.93422023853,4296518.24422345,5000.0,5.0,7
384,358209.3562126028,4306395.19857766,5000.0,5.0,6
385,358229.24865494925,4307504.986785044,5000.0,5.0,7
386,358249.1454311244,4308614.776743766,5000.0,5.0,8
387,358269.04654053826,4309724.568453971,5000.0,5.0,9
388,358288.95198260073,4310834.361915791,5000.0,5.0,11
389,358308.8617567215,4311944.157129367,5000.0,5.0,11
390,358328.77586230997,4313053.954094833,5000.0,5.0,14
391,358348.69429877563,4314163.752812325,5000.0,5.0,13
392,351972.63827975316,4297628.025231927,5000.0,5.0,8
393,351993.3468640627,4298737.807976982,5000.0,5.0,10
394,352014.05997255316,4299847.59245875,5000.0,5.0,11
395,352034.77760461014,4300957.378677374,5000.0,5.0,12
396,352055.4997596191,4302067.166632987,5000.0,5.0,14
397,352076.22643696546,4303176.956325729,5000.0,5.0,12
398,352096.95763603435,4304286.747755731,5000.0,5.0,10
399,352117.6933562112,4305396.54092314,5000.0,5.0,11
400,352138.4335968805,4306506.335828086,5000.0,5.0,16
401,352159.1783574275,4307616.132470708,5000.0,5.0,14
402,352179.92763723654,4308725.930851138,5000.0,5.0,13
403,352200.68143569224,4309835.730969518,5000.0,5.0,9
404,352221.4397521792,4310945.532825979,5000.0,5.0,10
405,352242.20258608134,4312055.33642066,5000.0,5.0,10
406,352262.96993678296,4313165.141753695,5000.0,5.0,10
407,352283.74180366803,4314274.94882522,5000.0,5.0,12
408,345808.665102093,4293304.604490998,5000.0,5.0,3
409,345830.205756985,4294414.389247327,5000.0,5.0,4
410,345851.7511242377,4295524.175725732,5000.0,5.0,5
411,345873.3012032118,4296633.963926352,5000.0,5.0,5
412,345894.8559932681,4297743.753849318,5000.0,5.0,5
413,345916.4154937672,4298853.5454947725,5000.0,5.0,6
414,345937.97970406944,4299963.338862852,5000.0,5.0,8
415,345959.5486235352,4301073.133953691,5000.0,5.0,7
416,345981.12225152453,4302182.930767429,5000.0,5.0,8
417,346002.7005873975,4303292.729304201,5000.0,5.0,9
418,346024.2836305138,4304402.529564137,5000.0,5.0,8
419,346045.8713802333,4305512.331547381,5000.0,5.0,7
420,346067.46383591555,4306622.1352540655,5000.0,5.0,9
421,346089.06099691987,4307731.940684328,5000.0,5.0,6
422,346110.6628626054,4308841.7478383,5000.0,5.0,4
