,gamma_vario
820,68.81230094182823
821,98.98219860387808
822,68.86663020498611
823,5.164139434903048
824,5.398613096952911
825,5.870419855955681
826,19.069571368421048
827,11.909546371191134
828,55.244282326869794
829,14.454443434903043
830,26.04373309695291
831,26.56129081440443
832,6.914113595567867
833,97.02634513019392
834,56.07923731855957
835,4.446421274238228
836,2.8708726426592803
837,4.131883434903048
838,64.2972532299169
839,43.52917752908587
840,1.755693030470914
841,85.26262993905819
842,5.610211279778393
843,7.1714627368421064
844,23.255784066481993
845,12.195489861495844
846,66.8964795567867
847,12.169754947368423
848,27.033097573407208
849,19.304045030470917
850,9.576247490304707
851,34.96516999445984
852,13.119087335180058
853,13.545143135734074
854,19.304045030470917
855,25.42609515789474
856,19.767273484764544
857,11.086029119113574
858,14.500194393351801
859,27.93953843767312
860,6.370820963988922
861,4.294871224376732
862,1.3153400554016619
863,2.4905678005540173
864,18.35757207756232
865,6.250724698060944
866,6.676780498614961
867,19.930261274238234
868,3.0624547811634364
869,24.711236432132974
870,6.4823389252077535
871,36.95819612188368
872,14.663182182825494
873,12.678734360110802
874,9.290303999999997
875,18.057331412742382
876,18.552013650969524
877,15.32371164542936
878,22.781117872576175
879,24.36524480886426
880,20.296268941828266
881,11.04027816066482
882,20.07895188919668
883,20.607947346260385
884,13.433625174515237
885,40.04692196121884
886,16.398859168975072
887,29.85821925761773
888,5.6988537617728525
889,3.79447011634349
890,1.2667296620498614
891,1.7699902049861491
892,19.464173385041548
893,5.0983724321329635
894,6.110612387811635
895,18.040174803324096
896,2.733619767313021
897,17.179484897506928
898,24.52823259833795
899,12.901770282548478
900,1.252432487534627
901,61.580790072022204
902,28.44565841551248
903,2.896607556786704
904,6.047704819944599
905,12.45569843767313
906,40.4695821828255
907,25.772086781163445
908,3.577153063711911
909,51.83297648753463
910,0.43463410526315793
911,0.17728496398891966
912,8.658368886426592
913,3.8516588144044337
914,39.38013748476455
915,6.696796542936287
916,15.129270072022162
917,19.141057240997227
918,0.546152066481994
919,37.80744828808866
920,14.26572073130194
921,55.39297294182825
922,23.544586991689762
923,4.523626016620498
924,11.746558581717446
925,8.869967069252073
926,9.253131346260385
927,6.413712487534625
928,12.467136177285314
929,13.708130925207753
930,38.53374475346261
931,25.30885832686981
932,9.847893806094184
933,10.565611966758999
934,5.561600886426591
935,29.584249650969536
936,7.400217529085871
937,46.142701030470896
938,1.2409947479224368
939,0.5375737617728528
940,8.017855468144045
941,4.686613806094183
942,35.714341939058166
943,8.578304709141273
944,16.02999206648199
945,23.473101119113576
946,0.18872270360110802
947,0.1343934404432133
948,57.11435275346263
949,47.85550253739611
950,25.388922504155126
951,3.997489994459833
952,9.184504908587257
953,7.583221362880885
954,12.032502072022169
955,6.204973739612189
956,0.9722078670360106
957,0.4117586260387811
958,0.4060397562326871
959,0.2859434903047092
960,5.553022581717452
961,13.267777950138504
962,37.481472709141286
963,23.744747434903044
964,9.01293881440443
965,9.773548498614959
966,4.6923326759002775
967,28.689246526315777
968,15.609655135734071
969,105.62752531855955
970,47.666779833795005
971,0.2973812299168975
972,0.9550512576177288
973,0.40603975623268695
974,1.1323362216066477
975,7.380201484764543
976,3.580012498614959
977,35.98598825484763
978,6.762563545706373
979,14.062700853185596
980,19.84161879224377
981,0.48324449861495833
982,56.425228941828266
983,26.152391623268706
984,4.632284542936287
985,7.837711069252075
986,14.63172839889196
987,34.404720753462605
988,20.636541695290862
989,5.0183082548476445
990,47.337944819944596
991,1.078006958448753
992,0.5375737617728531
993,6.0076727313019385
994,2.0244799113573406
995,34.3561103601108
996,4.39495144598338
997,11.086029119113574
998,15.704016487534629
999,0.7863445983379501
1000,34.17596596121885
1001,11.680791578947368
1002,49.6741031357341
1003,21.245601329639893
1004,6.327929440443213
1005,8.38386313573407
1006,10.619941229916893
1007,11.257595213296396
1008,8.469646182825484
1009,15.280820121883652
1010,16.799180055401656
1011,30.979117739612196
1012,18.715001440443217
1013,12.507168265927982
1014,13.270637385041555
1015,7.108555168975069
1016,32.225652642659284
1017,9.358930437673129
1018,41.158705994459844
1019,1.8128817285318561
1020,0.8177983822714678
1021,4.617987368421052
1022,2.130279002770082
1023,29.763857905817172
1024,5.272797961218838
1025,10.614222360110805
1026,18.30324281440443
1027,0.4489312797783935
1028,35.599964542936284
1029,39.817631024930776
1030,15.352305994459835
1031,16.67336491966759
1032,16.67336491966759
1033,2.490567800554016
1034,0.8635493407202218
1035,57.67480199445985
1036,56.35374306925206
1037,4.901071423822716
1038,9.913660808864266
1039,9.121597340720223
1040,6.024829340720222
1041,15.989959977839328
1042,4.675176066481996
1043,47.8412053628809
1044,25.446111202216077
1045,3.9803333850415505
1046,13.848243235457062
1047,6.485198360110803
1048,7.065663645429361
1049,10.388327002770081
1050,7.108555168975069
1051,7.674723279778391
1052,12.001048288088647
1053,6.2650218725761775
1054,1.0036616509695282
1055,0.371726537396122
1056,0.4289152354570637
1057,0.30310009972299173
1058,0.3173972742382272
1059,8.41245748476454
1060,7.840570504155124
1061,5.327127224376732
1062,10.837258282548476
1063,12.349899346260385
1064,35.182487047091406
1065,39.02270812188365
1066,25.254529063711917
1067,8.924296332409972
1068,8.598320753462604
1069,9.261709650969527
1070,4.583674149584487
1071,28.456917440443213
1072,14.634587833795011
1073,6.204973739612189
1074,106.28519534626038
1075,42.476905484764536
1076,65.55254515235455
1077,48.20721303047092
1078,74.868584066482
1079,48.20721303047091
1080,0.3202567091412742
1081,1.0236776952908586
1082,0.42891523545706356
1083,1.0351154349030471
1084,8.180843257617727
1085,4.360638227146814
1086,36.96391499168974
1087,7.8176950249307495
1088,15.486699434903047
1089,21.625906171745154
1090,0.40603975623268684
1091,45.110445030470935
1092,18.420479645429367
1093,8.066465861495843
1094,12.793111756232681
1095,18.972350581717446
1096,27.719361950138506
1097,16.54183091412743
1098,8.955750116343488
1099,36.92102346814405
1100,2.8994669916897506
1101,1.5784080664819946
1102,3.5314021052631577
1103,2.238937529085872
1104,26.286785063711903
1105,5.707432066481996
1106,9.527637096952908
1107,19.06385249861496
1108,0.9922239113573414
1109,66.4704237562327
1110,33.415356277008314
1111,2.9366396454293633
1112,4.892493119113575
1113,12.215505905817174
1114,40.58395957894738
1115,24.736971346260393
1116,2.89088868698061
1117,56.682578083102484
