,id_i,id_j,dist_m,n_overlap,frac_bad,corr,gamma_vario
2272,16063,16050,13708.26253964061,19,0.6842105263157895,-0.07619949441577738,9.347492698060938
2273,2620,2600,10080.873891256122,19,0.6842105263157895,0.8145813644852432,0.5890435900277007
2274,2620,2640,15819.426408650701,19,0.631578947368421,0.9107985464972573,3.096768000000001
2275,2620,16030,53366.10508632936,19,0.6842105263157895,0.19405589651897867,73.41027226592796
2276,2620,16043,52990.194337331406,19,0.6842105263157895,0.21989496837436567,125.5263328088643
2277,2620,16042,52893.701973057294,19,0.6842105263157895,0.22983831178418984,78.31420312465377
2278,2620,16044,51760.350556655736,19,0.6842105263157895,0.2632081175519008,73.1729391689751
2279,2620,16045,50582.15319684046,19,0.6842105263157895,0.27367646019779135,51.1810253296399
2280,2620,4150,19149.823182061304,19,0.6842105263157895,0.7977069495398766,2.2189214847645427
2281,2620,3740,10204.204193163403,19,0.6842105263157895,0.7489555821011418,1.2953240110803326
2282,2620,3880,18680.99675030968,19,0.6842105263157895,0.6400730199682316,2.7364792022160684
2283,2620,7020,29241.611878931195,19,0.631578947368421,0.7334044239534365,0.8092200775623268
2284,2620,7030,35423.800809745044,19,0.6842105263157895,0.06346296932898807,22.507148265927974
2285,2620,3760,13794.25560156681,19,0.6842105263157895,0.9043962758654484,6.001953861495845
2286,2620,3690,11626.809660021054,19,0.6842105263157895,0.7797210061365967,0.6834049418282548
2287,2620,16023,54544.89489727612,19,0.631578947368421,0.16933775363454273,168.42071578947366
2288,2620,16022,51406.246521154906,19,0.631578947368421,0.17012538894428117,92.64569085872577
2289,2620,16026,51920.636563699554,19,0.6842105263157895,0.19135330705955308,127.28488527423826
2290,2620,16020,49020.35647406009,19,0.6842105263157895,0.17007690890385235,92.70002012188367
2291,2620,16019,46322.94982774109,19,0.6842105263157895,0.20783880160987384,51.84441422714683
2292,2620,16053,38782.48270399575,19,0.6842105263157895,0.16116337118001067,13.7109903601108
2293,2620,16052,36976.78415430948,19,0.631578947368421,0.22017369231662523,6.8483465927977845
2294,2620,16054,35554.537859586366,19,0.631578947368421,0.2070106012287116,5.012589385041551
2295,2620,16051,33139.36124709721,19,0.631578947368421,0.19608559162171604,7.01133438227147
2296,2620,3000,30400.60807858391,19,0.6842105263157895,0.3304057838712769,3.7973295512465364
2297,2620,2900,28274.468779332477,19,0.6842105263157895,0.37759324327221977,2.905185861495845
2298,2620,1010,23200.459983301003,19,0.6842105263157895,0.7165143655675872,1.9587129085872572
2299,2620,16032,62343.73876678495,19,0.6842105263157895,0.15763016661305565,168.57512527423825
2300,2620,16033,65951.05368235777,19,0.631578947368421,0.23317329533274714,27.61070342382271
2301,2620,16031,64171.83247198065,19,0.631578947368421,0.2779777029681716,15.040627590027704
2302,2620,16046,62027.09537373239,19,0.6842105263157895,0.21866290221357962,74.64268870914124
2303,2620,16036,61347.192329676254,19,0.631578947368421,0.2902378298568264,15.812675013850415
2304,2620,16047,58257.84326560966,19,0.6842105263157895,0.2927040210926238,33.0264731301939
2305,2620,16034,61871.51504977959,19,0.6842105263157895,0.31263243114299966,24.167943800554013
2306,2620,16050,34282.93240351477,19,0.631578947368421,0.1678655363438024,9.636295623268694
2307,2600,2630,8781.23954320098,19,0.6842105263157895,0.8212034924290128,2.979531168975069
2308,2600,2640,12933.912675009737,19,0.6842105263157895,0.8200923205604143,4.555079800554019
2309,2600,16030,50218.3200911906,19,0.631578947368421,0.578045945490178,67.09092113019388
2310,2600,16043,50271.00714214188,19,0.6842105263157895,0.5737200739902736,118.36058894182823
2311,2600,16042,50497.93982944063,19,0.6842105263157895,0.5686781917444101,72.804072066482
2312,2600,16044,49641.26467303044,19,0.631578947368421,0.5585771064287219,68.74653393905817
2313,2600,16045,48748.40185817014,19,0.6842105263157895,0.5426043514057368,47.7811572299169
2314,2600,7020,24646.48302287027,19,0.631578947368421,0.8917588244500759,0.23161422714681446
2315,2600,3760,17289.434530212813,19,0.6842105263157895,0.8776713646632619,7.528892099722992
2316,2600,3690,1574.5106506833138,19,0.6842105263157895,0.9303524304038973,0.1343934404432133
2317,2600,16023,50919.38596083584,19,0.631578947368421,0.5785373674814057,158.41555306371185
2318,2600,16024,49594.89490482656,19,0.6842105263157895,0.5798970237732441,77.22761786149583
2319,2600,16021,48567.733749441475,19,0.6842105263157895,0.5798223440401377,107.537627833795
2320,2600,16022,48013.62203661992,19,0.631578947368421,0.579582145405967,85.01957797229915
2321,2600,16026,48688.34973491779,19,0.631578947368421,0.5777259157911723,119.14407410526319
2322,2600,16020,46078.8297292662,19,0.631578947368421,0.5766200015058672,85.12823649861492
2323,2600,16019,43765.76287984803,19,0.6842105263157895,0.5766849142248257,46.68599366204986
2324,2600,16053,34388.69996300188,19,0.6842105263157895,0.575797064955911,10.313981695290854
2325,2600,16052,32323.422258399933,19,0.631578947368421,0.6107290854090565,4.472156188365651
2326,2600,16054,30882.956310985704,19,0.631578947368421,0.5629550099838978,3.0595953462603878
2327,2600,16051,29041.602493457674,19,0.631578947368421,0.5682241307468874,4.689473240997231
2328,2600,3000,26871.039237129175,19,0.6842105263157895,0.6911626961123389,2.0759497396121884
2329,2600,2900,25165.72101990937,19,0.6842105263157895,0.7380800611746132,1.361091013850416
2330,2600,1010,21293.915333922774,19,0.6842105263157895,0.948969600664027,1.2124003988919667
2331,2600,16032,57841.563108353104,19,0.6842105263157895,0.577212375027418,158.2068143157895
2332,2600,16033,61967.492840955325,19,0.5789473684210527,0.5594462364598883,24.17080323545706
2333,2600,16031,60777.53481529247,19,0.5789473684210527,0.5222352131196171,13.059039202216063
2334,2600,16046,58332.17597327056,19,0.631578947368421,0.5768133818156082,68.84947359556784
2335,2600,16036,58394.99478995053,19,0.5789473684210527,0.45020114849484444,14.523069872576176
2336,2600,16047,55579.89087660278,19,0.631578947368421,0.5104180785938571,30.816129950138492
2337,2600,16034,59450.42132019293,19,0.631578947368421,0.2929879055692411,24.665485473684207
2338,2600,16050,29927.708571900537,19,0.631578947368421,0.5620096876269999,6.8369088531855935
2339,2630,2640,11925.6243278941,19,0.631578947368421,0.9689586746053458,0.6176379390581718
2340,2630,16030,49482.6956045795,19,0.6842105263157895,0.10472863679409694,77.6508142271468
2341,2630,16043,49132.27880489127,19,0.6842105263157895,0.10023280209987742,130.79055246537396
2342,2630,16042,49060.12122660428,19,0.6842105263157895,0.09726343988750696,83.73855113573408
2343,2630,16044,47949.25788248719,19,0.6842105263157895,0.10576480049639526,78.97187315235455
2344,2630,16045,46796.93008440928,19,0.6842105263157895,0.0929144036985486,57.40315567867036
2345,2630,4150,16375.907913540395,19,0.6842105263157895,0.8595292714665235,1.6070024155124656
2346,2630,3740,6965.5849549574295,19,0.6842105263157895,0.8139795768061049,2.095965783933518
2347,2630,3880,15394.132617818674,19,0.6842105263157895,0.7090308195067372,3.151097263157895
2348,2630,7020,25352.490539999042,19,0.631578947368421,0.6349116787034752,3.8202050304709148
2349,2630,7030,32253.464861682918,19,0.6842105263157895,0.0954357374455837,25.369442603878117
2350,2630,3760,10667.333263132838,19,0.6842105263157895,0.9318695418906259,2.464832886426594
2351,2630,3690,10119.832747259847,19,0.6842105263157895,0.740574904496976,3.4256030138504157
2352,2630,16023,50642.30577016636,19,0.631578947368421,0.10795470916631915,171.59182909695286
