id,Latitude,Longitude,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3,g4,d4_m,b4_deg,w4,sum_w
24.0,38.8447,-94.769459,16037,2823.055482263976,123.99979103123962,-0.26124665945822817,16024,3716.479009292225,39.626105319874,0.8931088024043569,16032,5430.482764381872,228.0597912854305,0.6322627587645266,16067,4706.058128395775,302.2901533040047,-0.26412490171065534,1.0
25.0,38.8447,-94.765292,16037,2531.931947282464,128.57399957067253,0.7309548223802761,16032,5704.027395124883,230.48582491039596,-0.0932981214646212,16007,3248.1940542984453,326.2967395872511,0.5856959284210416,16021,5005.293868298017,46.28534850624635,-0.22335262933669642,0.9999999999999999
26.0,38.8447,-94.761125,16037,2261.0255601089348,134.28831029129606,0.7531422736030788,16032,5986.844039383795,232.6864106652669,-0.10318921079120055,16007,3461.4808943423736,321.3236043058839,0.5265681509344525,16021,4750.997703526111,43.279049346122974,-0.1765212137463307,1.0
27.0,38.8447,-94.756958,16037,2018.492965563075,141.46267776971092,0.4889427126953646,16023,2882.4894488547475,68.06385545201971,0.13981934862132586,16018,3657.338428306588,288.20695920789706,0.30897740099049215,16025,4486.411069692659,16.623363775082055,0.06226053769281741,1.0
28.0,38.8447,-94.752791,16037,1815.7398474232969,150.4091210812325,0.3265361458577855,16018,4001.736759278781,286.59482430168595,0.45415329011539446,16025,4396.782056200268,12.115167183000269,-0.0779942972766828,16030,5220.477888184029,77.59599110104227,0.2973048613035029,1.0
29.0,38.8447,-94.748624,16037,1667.3417794677064,161.26024879992576,0.3873234730338553,16025,4335.415451379293,7.449569394161358,-0.025408600028172836,16018,4348.804464086689,285.2392814198664,0.3603270847143109,16030,4868.6375251517975,76.68639988330318,0.27775804228000667,1.0
30.0,38.8447,-94.744457,16037,1588.6050803191038,173.68581301778158,0.41919710659300413,16025,4303.5204596210815,2.682603469212154,0.002307263760401143,16030,4518.219173821995,75.63521454865781,0.28679244266583737,16018,4697.949968022143,284.08484668934,0.29170318698075737,1.0
31.0,38.8447,-94.74029,16037,1589.913101093009,186.7268434017678,0.4874834803491191,16023,1634.88541436533,48.819452784787245,0.4291542792748977,16039,3976.8023774832222,129.9706078900308,-0.015750445259810352,16007,4800.308676526962,304.2701915393667,0.0991126856357935,0.9999999999999998
32.0,38.8447,-94.736123,16037,1671.0778895620433,199.11382774059848,0.5839511869953082,16024,2908.268422045827,349.78590020261913,0.2778487186051051,16039,3707.4944170504514,133.55832284771986,0.046353605449632386,16026,4553.850231101482,53.886278509099554,0.09184648894995426,1.0
33.0,38.8447,-94.731956,16037,1821.4551964116952,209.90602930246823,0.5134823036045079,16024,2993.398342941713,342.9744125642366,0.2491231555158455,16039,3454.9420763598278,137.68863350897482,0.10270288688189882,16026,4267.6127243966375,51.0321643531243,0.13469165399774774,0.9999999999999999
34.0,38.8447,-94.727789,16037,2025.6892226072616,218.79224153446896,0.4332153896872215,16030,3140.2721295965134,69.09952927524506,0.2223121671646307,16024,3118.2071625853478,336.6235659652225,0.2431843365611755,16039,3223.086540717529,142.44083760727256,0.10128810658697233,0.9999999999999999
35.0,38.8447,-94.723622,16037,2269.285062196065,225.91484392528545,0.36339363785038986,16030,2806.0894847821987,66.47267063434379,0.27796997652060557,16039,3016.703689382272,147.88515785111224,0.14066418884706547,16024,3278.1659538374843,330.82650067571376,0.21797219678193908,1.0
36.0,38.8447,-94.719455,16023,1219.719687087017,331.9440805577379,0.5457640145991023,16030,2479.3947969855467,63.14457392618823,0.1245358841360931,16037,2540.9471917221526,231.58803026882936,0.11418447305048073,16039,2841.3496186515235,154.06342584793265,0.21551562821432385,1.0
37.0,38.8447,-94.715288,16023,1425.4778989853758,319.0368807240264,0.48789052864630766,16030,2163.582709227336,58.82610168019824,0.20477373776394514,16048,4949.5620662879055,136.11827075162932,0.13826305460570712,16037,2832.6119813175105,236.1305746033861,0.16907267898404005,1.0
38.0,38.8447,-94.711121,16039,2607.768642170988,168.4811589727732,0.297468473235359,16037,3138.7081270800704,239.80692036603924,0.21920539262257274,16021,3620.463621552008,342.7833671168892,0.2842116565699777,16043,3790.461268319141,80.34363996417642,0.19911447757209053,1.0
39.0,38.8447,-94.706954,16030,1590.5241164194651,45.24681912857977,0.536407561962953,16048,4479.595084058629,142.79270608531385,0.12029315007209952,16037,3455.4025580547145,242.8202107261565,0.27052781171931173,16021,3743.176995983058,337.5020851318054,0.07277147624563575,1.0
40.0,38.8447,-94.702787,16023,2286.350046108902,298.0922592808405,0.3342463895296679,16039,2563.1729880318635,184.50318860729485,0.34848748928486856,16042,4660.773424788708,88.05401180618139,0.12785364201437951,16026,2797.841274919684,16.46018106281275,0.18941247917108392,1.0
41.0,38.8447,-94.69862,16043,2729.193215334541,76.53774325936268,0.29988268901970533,16037,4110.718096079439,247.4252090142603,0.2871487190385453,16022,3521.532965624323,357.1255891741677,0.24499664441960692,16048,4083.836642045791,150.8901300919615,0.16797194752214245,1.0
42.0,38.8447,-94.694453,16030,1120.7213720084223,2.4045266194446526,0.6420599526941192,16043,2379.710685662202,74.51733090356936,0.08228744946592438,16039,2716.88481238904,199.86561230775047,0.295603853379549,16023,2942.759357392234,291.464797661007,-0.01995125553959259,0.9999999999999999
43.0,38.8447,-94.690286,16043,2034.2068401911731,71.80574783755736,0.427005399478754,16039,2859.73688584675,206.6843155807336,0.30728795283593324,16023,3281.264946447575,289.1607515960382,0.125942095580837,16026,2698.715974101896,353.8417166926926,0.13976455210447586,1.0000000000000002
44.0,38.8447,-94.686119,16043,1695.1162713726392,67.9971452843127,0.5295098530874623,16039,3038.96022283553,212.7775972389605,0.2786363984306528,16026,2760.835277499095,346.37705482405653,0.10294289091170916,16023,3624.085994818423,287.29028304465453,0.08891085757017553,0.9999999999999998
45.0,38.8447,-94.681952,16043,1367.219098922595,62.32481525555011,0.6405319934269441,16039,3248.540537027174,218.13947527439512,0.24394971409541222,16026,2867.3567429728755,339.3537804056656,0.05487744842962466,16023,3970.10473133422,285.7446673078253,0.06064084404801901,1.0
46.0,38.8447,-94.677785,16043,1060.9449296435537,53.23785896944963,0.7554638025619359,16039,3483.0021831344825,222.8163101581366,0.20652723149937746,16026,3013.575566264444,332.9222419635526,0.0017699964675910273,16023,4318.55259121256,284.4478589079082,0.03623896947109561,1.0
47.0,38.8447,-94.673618,16043,801.4782672343704,37.60748639778734,0.7913044641797634,16030,2083.680233580141,302.51203332569094,0.11117188528598225,16042,2137.765430853675,85.78340655199707,-0.07613035088590796,16048,3572.761335301497,182.88022134771884,0.17365400142016219,0.9999999999999999
48.0,38.8447,-94.669451,16043,647.7483097638886,11.419695463434891,0.8205692602040512,16042,1778.0599756620009,84.93121480987821,0.007780007855490856,16030,2395.862761564666,297.87084442740473,0.018349686459309556,16048,3608.945822389036,188.6144843944992,0.15330104548114837,1.0
49.0,38.8447,-94.665284,16043,676.1919284200446,339.8801303498776,0.7507091442618099,16042,1418.9490620750064,83.64659427303064,0.14957457527161203,16030,2720.114822422683,294.317486368427,-0.03159254905836135,16048,3680.3453488506175,194.1806244028228,0.13130882952493944,1.0
50.0,38.8447,-94.661117,16043,869.1031967176102,316.93472632869646,0.7148007422389738,16040,4924.03407524708,147.42359610126675,0.10280727098961984,16045,4562.376471196733,69.63224152016721,0.10505450381586913,16039,4588.025774210563,236.16923557647152,0.07733748295553726,1.0
51.0,38.8447,-94.65695,16042,706.1469742394745,77.1600231590815,0.7848382423800458,16048,3920.1533645426166,204.46840597494383,0.08269387163650911,16020,4989.702525108869,349.0104089338459,0.0058327065891544405,16030,3390.8775911362377,289.293700028614,0.1266351793942906,1.0
52.0,38.8447,-94.652783,16042,363.2512864861184,64.4092102561699,0.9024342521719597,16048,4082.867983979282,209.08543352471105,0.045486241758691204,16020,5070.879107024139,345.00694546982857,-0.010273966637868878,16030,3733.3913196351104,287.4659494616237,0.06235347270721799,1.0
53.0,38.8447,-94.648616,16042,160.38196704468652,348.0328489965788,0.9950689251445287,16044,1787.6689019103835,62.34740618906039,-0.0002932551212072154,16048,4269.965466844552,213.3236015535142,0.034785261951930824,16030,4079.068748427445,285.9468641308037,-0.029560931975252273,1.0
54.0,38.8447,-94.644449,16042,424.2124280445965,291.7079816986833,0.8010517466258893,16044,1477.528709913861,55.841461920051074,0.14216094186912726,16040,4321.665043608031,163.78293696039998,0.07615815187509789,16048,4478.390864877444,217.18698269950545,-0.01937084037011429,1.0
55.0,38.8447,-94.640282,16042,771.1374216538424,281.7421462265931,0.6836333509971725,16044,1196.186797852074,46.091747745532416,0.3778399942991687,16040,4235.087926318235,168.4788422067536,0.013643347934578061,16020,5452.128616991876,333.95604600376345,-0.07511669323091937,0.9999999999999999
56.0,38.8447,-94.636115,16044,969.059030517084,31.127711180750964,0.4085829165829522,16042,1126.8596147669016,278.0075174974142,0.4006604699285195,16049,2032.9200071955256,96.65157901323067,0.09819563624126516,16040,4178.008547423947,173.33654754967415,0.09256097724726309,0.9999999999999999
57.0,38.8447,-94.631948,16044,841.2661513790886,9.58714842308308,0.48719082957192533,16042,1485.070768569375,276.0699077824444,0.24529104492685452,16049,1674.9924123475716,98.0844962472932,0.16905232894464875,16040,4151.643745102042,178.29210356843794,0.09846579655657131,0.9999999999999999
58.0,38.8447,-94.627781,16044,858.3838618747792,345.0991556677592,0.48803980850351253,16049,1318.6778449364415,100.29314024883628,0.2886372508758558,16042,1844.321205734383,274.8867000146449,0.13573448346007647,16040,4156.578019933781,183.2732671053263,0.08758845716055529,1.0
59.0,38.8447,-94.623614,16049,965.76331975448,104.12469519358922,0.6436307009676457,16045,1891.7237652159563,32.98399172952031,0.056342595301416394,16042,2204.102800618281,274.08994080435104,0.30348634249199025,16040,4192.700868284823,188.20554391763196,-0.0034596387610523745,1.0
60.0,38.8447,-94.619447,16049,622.0628394856379,112.2668582405571,0.7960232027785448,16045,1722.0666445515817,22.862397560196086,0.0785990860254205,16040,4259.218824030909,193.0187080690881,0.003526417091942352,16043,4249.821632031157,278.60738229482695,0.12185129410409234,1.0
61.0,38.8447,-94.61528,16049,318.9065996850449,137.66195084419087,0.9278969267931163,2800,3056.4391539865364,57.446543460304326,0.018979601946141303,16048,6333.722203044041,235.7295346287357,0.008502959981017664,16020,6691.619546227501,317.0693053453602,0.04462051127972468,1.0
