Reading,Receive,Value,Unit,Data Quality
01/31/2015 05:58:29 PM,07/27/2015 02:22:10 PM,0.08,in,A
01/31/2015 04:42:30 PM,07/27/2015 02:22:10 PM,0.04,in,A
01/31/2015 03:43:24 PM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 03:08:52 PM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 02:26:03 PM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 01:35:57 PM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 12:50:02 PM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 12:00:22 PM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 10:00:12 AM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 09:26:36 AM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 09:00:39 AM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 08:35:55 AM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 08:15:27 AM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 07:34:14 AM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 07:00:25 AM,07/27/2015 02:22:09 PM,0.00,in,A
01/31/2015 06:25:23 AM,07/27/2015 02:22:09 PM,0.04,in,A
01/31/2015 05:02:56 AM,07/27/2015 02:22:08 PM,0.04,in,A
01/30/2015 07:02:19 PM,07/27/2015 02:22:08 PM,0.00,in,A
01/29/2015 07:06:07 PM,07/27/2015 02:22:08 PM,0.00,in,A
01/29/2015 07:08:01 AM,07/27/2015 02:22:08 PM,0.00,in,A
01/28/2015 07:09:55 PM,07/27/2015 02:22:08 PM,0.00,in,A
01/28/2015 07:11:50 AM,07/27/2015 02:22:08 PM,0.00,in,A
01/27/2015 07:13:44 PM,07/27/2015 02:22:08 PM,0.00,in,A
01/27/2015 07:15:38 AM,07/27/2015 02:22:08 PM,0.00,in,A
01/26/2015 07:17:32 PM,07/27/2015 02:22:08 PM,0.00,in,A
01/25/2015 07:21:20 PM,07/27/2015 02:22:08 PM,0.00,in,A
01/25/2015 07:23:14 AM,07/27/2015 02:22:08 PM,0.00,in,A
01/25/2015 01:09:33 AM,07/27/2015 02:22:08 PM,0.04,in,A
01/24/2015 10:00:59 PM,07/27/2015 02:22:07 PM,0.04,in,A
01/24/2015 07:25:08 PM,07/27/2015 02:22:07 PM,0.00,in,A
01/24/2015 07:27:02 AM,07/27/2015 02:22:07 PM,0.00,in,A
01/23/2015 07:28:56 PM,07/27/2015 02:22:07 PM,0.00,in,A
01/22/2015 07:34:38 AM,07/27/2015 02:22:07 PM,0.00,in,A
01/21/2015 07:36:32 PM,07/27/2015 02:22:07 PM,0.00,in,A
01/21/2015 07:38:26 AM,07/27/2015 02:22:07 PM,0.00,in,A
01/20/2015 07:40:20 PM,07/27/2015 02:22:07 PM,0.00,in,A
01/20/2015 07:42:14 AM,07/27/2015 02:22:07 PM,0.00,in,A
01/19/2015 07:44:08 PM,07/27/2015 02:22:07 PM,0.00,in,A
01/19/2015 07:46:02 AM,07/27/2015 02:22:07 PM,0.00,in,A
01/18/2015 07:47:56 PM,07/27/2015 02:22:07 PM,0.00,in,A
01/18/2015 07:49:50 AM,07/27/2015 02:22:07 PM,0.00,in,A
01/17/2015 07:51:44 PM,07/27/2015 02:22:07 PM,0.00,in,A
01/17/2015 07:53:39 AM,07/27/2015 02:22:07 PM,0.00,in,A
01/16/2015 07:55:33 PM,07/27/2015 02:22:06 PM,0.00,in,A
01/15/2015 07:59:21 PM,07/27/2015 02:22:06 PM,0.00,in,A
