NEW,,,,,Filenames,,HARI,,,
properties.site_id,properties.site_alias,Lat,Long,,,,ID,Latitude,Longitude,New ID
71,16016,38.9323772,-94.7141605,,16062,,3720,39.2599746,-94.5650796,16034
69,16015,38.9310800,-94.6985000,,16063,,3860,39.1898864,-94.6100294,16045
1582,16098,38.9365250,-94.6863690,,16064,,16018,38.8549700,-94.7970800,16049
66,16013,38.9405800,-94.6710500,,16065,,16007,38.8690000,-94.7861110,16306
263,16011,38.9387580,-94.6581500,,16066,,16014,38.8941660,-94.7608330,16306
89,16006,38.9745000,-94.6842700,,16067,,16028,38.9271100,-94.7367200,16069
270,16096,38.9716210,-94.6601110,,16068,,16017,38.9356190,-94.7201490,16015
65,16029,38.9314400,-94.6465000,,16069,,16016,38.9323780,-94.7141600,16015
271,16010,38.9494380,-94.6385160,,16070,,16015,38.9310800,-94.6985000,16015
15,16008,38.9313300,-94.6297200,,16071,,16098,38.9365250,-94.6863690,16098
22,16095,38.9714700,-94.6142700,,16072,,16013,38.9405800,-94.6710500,16013
4424,16333,38.9629807,-94.6034873,,16073,,16011,38.9387580,-94.6581500,16098
4363,16334,38.9419910,-94.6048471,,16074,,16006,38.9745000,-94.6842700,16061
1595,16105,38.9208040,-94.7051420,,16075,,16096,38.9716210,-94.6601110,16057
123,16083,38.8404100,-95.0155500,,16076,,16029,38.9314400,-94.6465000,16015
124,16080,38.8550500,-95.0053600,,16077,,16010,38.9494380,-94.6385160,16066
80,16076,38.8559100,-94.9340800,,16078,,16008,38.9313300,-94.6297200,16015
81,16077,38.8694100,-94.9705000,,16079,,16095,38.9714700,-94.6142700,16057
125,16082,38.8895056,-95.0375327,,16080,,2790,38.9629807,-94.6034873,16066
87,16078,38.8987700,-94.9768300,,16081,,1720,38.9419910,-94.6048471,16011
120,16081,38.9485200,-94.9933300,,16082,,16105,38.9208040,-94.7051420,16069
119,16079,38.9566300,-94.9737700,,16083,,16083,38.8404100,-95.0155500,#N/A
4421,16336,38.9615492,-94.4748451,,16084,,16080,38.8550500,-95.0053600,16049
