id,left,top,right,bottom,row_index,col_index,geometry,UTM_Easting,UTM_Northing
12321618,-94.8,38.83,-94.78999999999999,38.82,1617,3520,POINT (344180.1403495382 4298887.469282899),344180.1403495382,4298887.469282899
12321617,-94.8,38.84,-94.78999999999999,38.830000000000005,1616,3520,POINT (344201.94774738676 4299997.265255359),344201.94774738676,4299997.265255359
12321616,-94.8,38.85,-94.78999999999999,38.84,1615,3520,POINT (344223.7599074241 4301107.062946451),344223.7599074241,4301107.062946451
12321599,-94.8,39.019999999999996,-94.78999999999999,39.01,1598,3520,POINT (344595.2946152589 4319973.886776471),344595.2946152589,4319973.886776471
12321598,-94.8,39.03,-94.78999999999999,39.02,1597,3520,POINT (344617.19238388666 4321083.715425976),344617.19238388666,4321083.715425976
12346125,-94.72999999999999,38.76,-94.71999999999998,38.75,1624,3527,POINT (350110.52000688325 4291001.93995926),350110.52000688325,4291001.93995926
12346124,-94.72999999999999,38.769999999999996,-94.71999999999998,38.76,1623,3527,POINT (350131.4442252023 4292111.714817286),350131.4442252023,4292111.714817286
12346123,-94.72999999999999,38.78,-94.71999999999998,38.77,1622,3527,POINT (350152.3730244651 4293221.4914072305),350152.3730244651,4293221.4914072305
12346122,-94.72999999999999,38.79,-94.71999999999998,38.78,1621,3527,POINT (350173.3064040509 4294331.26972923),350173.3064040509,4294331.26972923
12346121,-94.72999999999999,38.8,-94.71999999999998,38.79,1620,3527,POINT (350194.2443633389 4295441.049783425),350194.2443633389,4295441.049783425
12346120,-94.72999999999999,38.81,-94.71999999999998,38.800000000000004,1619,3527,POINT (350215.186901708 4296550.831569956),350215.186901708,4296550.831569956
12346119,-94.72999999999999,38.82,-94.71999999999998,38.81,1618,3527,POINT (350236.1340185371 4297660.615088955),350236.1340185371,4297660.615088955
12346118,-94.72999999999999,38.83,-94.71999999999998,38.82,1617,3527,POINT (350257.0857132048 4298770.400340564),350257.0857132048,4298770.400340564
12346117,-94.72999999999999,38.84,-94.71999999999998,38.830000000000005,1616,3527,POINT (350278.0419850899 4299880.187324922),350278.0419850899,4299880.187324922
12346116,-94.72999999999999,38.85,-94.71999999999998,38.84,1615,3527,POINT (350299.0028335706 4300989.976042163),350299.0028335706,4300989.976042163
12346115,-94.72999999999999,38.86,-94.71999999999998,38.85,1614,3527,POINT (350319.9682580252 4302099.766492425),350319.9682580252,4302099.766492425
12346114,-94.72999999999999,38.870000000000005,-94.71999999999998,38.86000000000001,1613,3527,POINT (350340.93825783185 4303209.558675848),350340.93825783185,4303209.558675848
12346113,-94.72999999999999,38.879999999999995,-94.71999999999998,38.87,1612,3527,POINT (350361.91283236863 4304319.352592562),350361.91283236863,4304319.352592562
12346112,-94.72999999999999,38.89,-94.71999999999998,38.88,1611,3527,POINT (350382.89198101324 4305429.148242711),350382.89198101324,4305429.148242711
12314607,-94.82,38.94,-94.80999999999999,38.93,1606,3518,POINT (342686.6823506148 4311129.652484954),342686.6823506148,4311129.652484954
12314606,-94.82,38.95,-94.80999999999999,38.940000000000005,1605,3518,POINT (342708.78587440803 4312239.469957291),342708.78587440803,4312239.469957291
12314605,-94.82,38.96,-94.80999999999999,38.95,1604,3518,POINT (342730.89420620713 4313349.289145563),342730.89420620713,4313349.289145563
12314604,-94.82,38.97,-94.80999999999999,38.96,1603,3518,POINT (342753.00734535593 4314459.110049903),342753.00734535593,4314459.110049903
12314603,-94.82,38.980000000000004,-94.80999999999999,38.970000000000006,1602,3518,POINT (342775.1252911985 4315568.932670448),342775.1252911985,4315568.932670448
12314602,-94.82,38.989999999999995,-94.80999999999999,38.98,1601,3518,POINT (342797.2480430781 4316678.757007324),342797.2480430781,4316678.757007324
12314601,-94.82,39.0,-94.80999999999999,38.99,1600,3518,POINT (342819.37560033856 4317788.583060671),342819.37560033856,4317788.583060671
12314600,-94.82,39.01,-94.80999999999999,39.0,1599,3518,POINT (342841.50796232314 4318898.410830617),342841.50796232314,4318898.410830617
12314599,-94.82,39.019999999999996,-94.80999999999999,39.01,1598,3518,POINT (342863.64512837504 4320008.240317297),342863.64512837504,4320008.240317297
12314598,-94.82,39.03,-94.80999999999999,39.02,1597,3518,POINT (342885.7870978372 4321118.071520844),342885.7870978372,4321118.071520844
12314597,-94.82,39.04,-94.80999999999999,39.03,1596,3518,POINT (342907.9338700527 4322227.904441384),342907.9338700527,4322227.904441384
12314623,-94.82,38.78,-94.80999999999999,38.77,1622,3518,POINT (342333.68039346323 4293372.80618501),342333.68039346323,4293372.80618501
12314622,-94.82,38.79,-94.80999999999999,38.78,1621,3518,POINT (342355.7069000643 4294482.596220708),342355.7069000643,4294482.596220708
12314621,-94.82,38.8,-94.80999999999999,38.79,1620,3518,POINT (342377.7382251475 4295592.387970178),342377.7382251475,4295592.387970178
12314620,-94.82,38.81,-94.80999999999999,38.800000000000004,1619,3518,POINT (342399.7743680589 4296702.181433559),342399.7743680589,4296702.181433559
12314619,-94.82,38.82,-94.80999999999999,38.81,1618,3518,POINT (342421.81532814505 4297811.97661098),342421.81532814505,4297811.97661098
12314615,-94.82,38.86,-94.80999999999999,38.85,1614,3518,POINT (342510.0273271544 4302251.174463838),342510.0273271544,4302251.174463838
12314614,-94.82,38.870000000000005,-94.80999999999999,38.86000000000001,1613,3518,POINT (342532.09236330155 4303360.978213526),342532.09236330155,4303360.978213526
