id,n_gauges,a_km,b,nugget,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3,g4,d4_m,b4_deg,w4
12353127,4,13.049563049727649,0.6615557392258655,0.0,16034,4490.465659394092,37.75011491723325,0.500810223160059,16046,8022.856985485825,323.96016632570013,0.15913352448008142,16033,8787.410417477178,295.13576138280644,0.22980358919868102,16039,9625.650527778256,1.0111968361271124,0.11025266316117867
12353126,4,13.049563049727649,0.6615557392258655,0.0,16034,3660.878856975288,48.18539924421799,0.5226234808278273,16046,7168.995220879167,318.6004356121793,0.16637998002619683,16033,8396.124213507856,288.2029369168261,0.20092539609698584,16039,8515.689747998393,1.0039022392480206,0.11007114304898998
12353125,4,13.049563049727649,0.6615557392258655,0.0,16034,3017.248008912691,63.82355801575381,0.46534971109564427,16031,4018.238813447576,290.70857705852666,0.36894427565492666,16048,6882.859817815376,22.77216714713512,0.0885916125862887,16038,8048.973301047393,349.3302153054118,0.0771144006631404
12353124,4,13.049563049727649,0.6615557392258655,0.0,16034,2696.2100410665475,85.29309885696262,0.4555681192619605,16031,3792.092027775212,274.70634183833783,0.34364367706688737,16048,5865.9678470977215,26.78488110343244,0.12022667249049318,16037,7964.564516374247,336.9808111214066,0.0805615311806589
12353123,4,13.049563049727649,0.6615557392258655,0.0,16034,2810.575607127324,108.42946783378522,0.40915483197448904,16031,3883.009476939396,258.13099320301944,0.3111975705443612,16048,4889.724419392654,32.437757896892094,0.17387025191818242,16037,6965.991633423966,333.25218804692514,0.10577734556296732
12353122,4,13.049563049727649,0.6615557392258655,0.0,16034,3315.5931060965167,127.06340423149176,0.33314127741918764,16048,3984.124714153367,40.77655810798558,0.2512239571238028,16031,4270.791171551557,243.4580857537391,0.26915380917054704,16037,6006.65085796642,328.30549161519053,0.1464809562864626
12353121,4,13.049563049727649,0.6615557392258655,0.0,16034,4068.295455924501,139.81598310733762,0.23849037046553015,16038,3810.536732225667,335.61885705465505,0.25426378509004727,16031,4885.249017589959,231.843092814385,0.21159677842019264,16048,3209.5366376441625,53.54119506946205,0.29564906602422986
12377612,4,13.049563049727649,0.6615557392258655,0.0,16008,5162.824256977093,6.113849770686329,0.2082936927346979,16042,4484.238040207712,196.74966158465256,0.20163394455768396,16020,2887.746440529272,279.32440241839777,0.3765703424086887,2800,5142.652489209809,124.42309589128104,0.21350202029892948
12353120,4,13.049563049727649,0.6615557392258655,0.0,16038,2848.4912701551416,325.9793539110786,0.3454502708159013,16034,4957.111879395326,148.30646137742656,0.15470081240635067,16031,5652.94409273453,223.09401482286344,0.1526738001051449,16048,2681.9851033320806,72.70188444315227,0.34717511667260315
12377611,4,13.049563049727649,0.6615557392258655,0.0,16045,4480.309655716415,154.22244922784944,0.16699134196801566,16020,2940.3984522478763,257.3905385104761,0.1987751669898502,16042,5560.811968931947,193.64900520485983,0.07112553223288937,16019,1332.571711603394,342.1545568017902,0.5631079588092448
12377610,4,13.049563049727649,0.6615557392258655,0.0,16045,5493.860165786958,159.4498138551612,0.20959849107780795,16020,3378.8875127890246,238.7735284588113,0.3470575042477681,1720,4867.59517506033,33.50509222388047,0.25239499741422927,16013,5036.631286028295,322.67761093976105,0.19094900726019468
12377609,4,13.049563049727649,0.6615557392258655,0.0,16008,1869.5026565154708,15.2007282136168,0.3117006640068553,16019,1051.41579329715,205.22922788648333,0.5481213142204685,16027,5923.905174913072,251.96261302519304,0.04576951315889233,16011,3314.045200681414,323.7588564713681,0.09440850861378373
12377608,4,13.049563049727649,0.6615557392258655,0.0,16019,2113.395088202084,192.795493979378,0.41413653535075123,16010,2729.625187872422,354.6175724275341,0.254364662679704,1720,3223.375827947826,55.20922471416026,0.21411810374221527,16098,4633.685585130255,287.0699135552444,0.11738069822732962
12377607,4,13.049563049727649,0.6615557392258655,0.0,1720,2726.635877281181,74.4837985177681,0.2298168902599398,16010,1631.3057280855069,350.2609909247467,0.42596620677650804,16019,3208.034468596672,188.749020649505,0.2332799638756039,16098,4456.503219116364,273.22063430085177,0.11093693908794819
12377606,4,13.049563049727649,0.6615557392258655,0.0,2790,3382.67964114196,54.86065094771476,0.0772586550317137,16008,1584.86621177668,164.2397388181812,0.2333390127979555,16010,579.2576441938439,329.2854715879054,0.590683042351583,16011,2122.981270186885,251.98733343796755,0.09871928981874786
12377605,4,13.049563049727649,0.6615557392258655,0.0,16095,2563.0363840998943,45.520456629460966,0.16124439063293514,16010,688.4830918165574,207.30035747618848,0.6132269476814677,16096,2852.8862758553105,311.32787097038613,0.1293191830791101,1720,2985.883638869155,119.93899006722046,0.09620947860648715
12377604,4,13.049563049727649,0.6615557392258655,0.0,16095,1934.5269681047623,69.23039845160969,0.3134550455510755,16010,1754.018018618057,191.03368809568784,0.34744507839297806,16096,2296.680130688498,289.6987639018449,0.23846343068695608,16094,3596.37599173605,358.9997695987094,0.10063644536899025
12353119,4,13.049563049727649,0.6615557392258655,0.0,16038,2042.4745085344769,307.775298939883,0.4065075058395473,16046,5439.35384073307,243.92501590753196,0.12668270570163703,16048,2559.1048948921766,97.0097856680427,0.36025399936123037,16030,4518.151060356358,13.36958118270678,0.10655578909758533
12353118,4,13.049563049727649,0.6615557392258655,0.0,16030,3441.789267958474,17.30921042330192,0.08428119644257584,16048,2892.932571306554,119.44414673503452,0.06560764637724606,16039,364.1975812510664,182.57191924807475,0.7043915586067551,16038,1641.2193990231576,274.9413641733164,0.14571959857342304
12353117,4,13.049563049727649,0.6615557392258655,0.0,16039,1474.0810348987277,181.44047006887217,0.40817016665488526,16038,1918.2313815312168,239.6787096239031,0.2855988917868225,16043,3641.188400245919,63.03947911726215,0.17500379291919607,16022,4602.99203733016,5.762355331550111,0.13122714863909618
12353116,4,13.049563049727649,0.6615557392258655,0.0,16048,4404.701019399202,145.768100896647,0.13330433851397694,16043,3269.815955941622,80.4757025778693,0.23760745087046517,16022,3497.9126172692963,7.250030401885169,0.2616399448127926,16038,2670.158383907235,218.89419663711436,0.3674482658027653
12353115,4,13.049563049727649,0.6615557392258655,0.0,16026,1824.8749402569017,33.79821966603288,0.23708913796077122,16030,962.8572980975612,92.58568434235428,0.5251990606252402,16039,3694.023460586829,181.2175909039652,0.1062219239029993,16037,4237.730369319411,231.16054823242123,0.13148987751098917
12353114,4,13.049563049727649,0.6615557392258655,0.0,16026,1074.3444583044184,67.75659515276897,0.45946179469723264,16030,1488.52190187018,140.78207418877082,0.30331651118466707,16038,4628.437485788892,201.78861921480063,0.11028620523996856,16027,3643.8141759023897,8.52474010495854,0.12693548887813175
12353113,4,13.049563049727649,0.6615557392258655,0.0,16022,404.4702305581931,69.6619075473472,0.6768712181523554,16026,1200.9923541779758,125.83395543512596,0.13969873469689503,16030,2443.0361810371487,157.86735271461498,0.0866304395178238,16027,2547.284665189247,11.765654479769182,0.09679960763292579
12353112,4,13.049563049727649,0.6615557392258655,0.0,16027,1471.0747315202566,19.815332238000224,0.49286314900204176,16020,3241.8742697716475,83.68202469469185,0.10108310778440817,16026,2048.0919263581964,152.2718765735052,0.30441448625243844,16030,3490.7436596725074,165.06435081686925,0.10163925696111173
12353111,4,13.049563049727649,0.6615557392258655,0.0,16027,550.9981679755259,60.15854398349518,0.6839580684202835,16022,2106.2716462455846,170.77173638081445,0.1969992295379533,16020,3288.81657685104,103.23641791955134,0.039436696815199596,16015,4044.3252897441375,9.080925831541949,0.07960600522656375
12353110,4,13.049563049727649,0.6615557392258655,0.0,16020,3686.0558419301674,120.35616471827598,0.2102273200979512,16013,4925.748751610044,37.760832529527136,0.13064283244103506,16016,3141.036044558435,346.4262347224089,0.34427762909452264,16022,3204.5285474544503,174.32226104284928,0.31485221836649113
12353109,4,13.049563049727649,0.6615557392258655,0.0,16015,1871.7404170642928,18.59386758070133,0.2806835673698998,16027,1993.773555715977,167.3553359117608,0.3963614047049413,16016,2086.068715673161,338.6948666494513,0.2568703363600373,16011,4843.000978637488,58.06494243355735,0.0660846915651216
12353108,4,13.049563049727649,0.6615557392258655,0.0,16015,879.2419191056588,40.93361370998281,0.4539752147452761,16027,3083.367178358823,172.25194755846633,0.15967805482983655,16016,1140.8014879193977,316.9539574118655,0.3473647935043684,16029,5122.1745647254975,83.03097517754998,0.03898193692051903
12353107,4,13.049563049727649,0.6615557392258655,0.0,16016,845.7869782809029,250.94721394034133,0.6617173763568069,16006,4738.32709729511,23.348359854289757,0.10847174224987069,16011,4082.85276470661,85.19301002462737,0.13095846549544235,16027,4183.701504304797,174.58333193603437,0.09885241589788012
12353106,4,13.049563049727649,0.6615557392258655,0.0,16006,3734.9518635387008,29.816969231779296,0.17932442843820764,16015,1644.6575774590697,161.0333016416812,0.31241731367421416,16017,1675.970552982971,232.66495859793616,0.3645903318467963,16013,2983.5467378235635,100.52593383058746,0.14366792604078193
12353105,4,13.049563049727649,0.6615557392258655,0.0,16006,2812.8550257963416,40.75666155768363,0.33926637806943477,16017,2520.3991343850416,212.47646203164635,0.31438667970521206,16015,2714.240382576348,169.08868432844383,0.19012087829085852,16013,3349.8630650203354,119.60400710850696,0.15622606393449467
12353104,4,13.049563049727649,0.6615557392258655,0.0,16006,2082.9353664323207,60.65116393056854,0.42756801410034695,16017,3515.7030992416985,203.0073178061437,0.23576170637245683,16062,4514.513052654805,301.6161494718567,0.19462027368704837,16013,4000.724407524767,133.71224851037812,0.14205000584014782
12328623,4,13.049563049727649,0.6615557392258655,0.0,16046,2317.049328838522,33.48143506492562,0.2849226929443685,16031,2457.607809858371,111.84153084851796,0.27528258139901307,16033,2122.524862321309,247.2091715241192,0.36477525473741185,16032,5444.988228061876,320.1761809842608,0.07501947091920656
