view,type,cache,generated,data_date,src_file,feature_index,feature_type,geom_type,coord_0,coord_1,properties.id,properties.site,properties.site_id,properties.site_alias,properties.name,properties.description,properties.site_list_html,properties.site_hover_html,properties.system,properties.system_type,properties.image,properties.unix_timestamp,properties.status,properties.site_icon,properties.active_events
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,20,Feature,Point,-94.5234476,39.0981095,4432,e577dee3-66f4-4b2e-8f1c-9141be2e2d2c,4432,16317,BL17-Winner Rd &amp; 12th St @ Gooseneck Creek,,BL17-Winner Rd &amp; 12th St @ Gooseneck Creek <small>(16317)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL17-Winner Rd &amp; 12th St @ Gooseneck Creek <small>(16317)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,21,Feature,Point,-94.4930787,39.0897708,4379,88682a95-78c4-4575-a7ee-200d9ba30733,4379,16318,BL18-17th @ Blue River,,BL18-17th @ Blue River <small>(16318)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL18-17th @ Blue River <small>(16318)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,22,Feature,Point,-94.637472,38.811,4457,04f6800c-fe08-44bb-9449-bd0e19f3e192,4457,16118,BL19- 175th St @ Camp Branch Control,175th St @ Camp Branch Control,BL19- 175th St @ Camp Branch Control <small>(16118)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL19- 175th St @ Camp Branch Control <small>(16118)</small><br><small>175th St @ Camp Branch Control</small></div>",169.525,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,23,Feature,Point,-94.632833,38.810972,4460,b834ad94-5262-4f33-97c0-83530ef98566,4460,16121,BL20- 175th St @ E Camp Branch Control,175th St @ E Camp Branch Control,"BL20- 175th St @ E Camp Branch Control <small>(16121)</small><div class=""mt-1 mb-1"">
<span class=""text-warning"">
<small><i class=""fa-regular fa-plug""  aria-hidden=""true""></i>  Out of Service</small>
</span>
</div>","<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BL20- 175th St @ E Camp Branch Control <small>(16121)</small><br><small>175th St @ E Camp Branch Control</small><div class=""mt-1 mb-1"">
<span class=""text-warning"">
<small><i class=""fa-regular fa-plug""  aria-hidden=""true""></i>  Out of Service</small>
</span>
</div></div>",169.525,26,,1771345008,3,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,24,Feature,Point,-94.64925,38.99244,92,06b6c9de-1bb2-4b95-8238-c90011a982f0,92,16093,BR01-Nall Ave @ Brush Creek,,BR01-Nall Ave @ Brush Creek <small>(16093)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BR01-Nall Ave @ Brush Creek <small>(16093)</small></div>",170.225,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,25,Feature,Point,-94.6396259,38.9946935,4381,1890d287-225b-415f-83d4-0f80a47d122e,4381,16319,BR02-Porter Park,,BR02-Porter Park <small>(16319)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BR02-Porter Park <small>(16319)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,26,Feature,Point,-94.63647,38.99738,94,c69b7b9d-477a-47f7-9c41-2837662e4cec,94,16094,BR03-74th St @ Brush Creek,,BR03-74th St @ Brush Creek <small>(16094)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BR03-74th St @ Brush Creek <small>(16094)</small></div>",170.225,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,27,Feature,Point,-94.62972,39.00958,24,239d5f75-1ec9-4c83-8cf5-0d15a783304c,24,16106,BR04-66th St &amp; Mission Rd Master,,BR04-66th St &amp; Mission Rd Master <small>(16106)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BR04-66th St &amp; Mission Rd Master <small>(16106)</small></div>",169.525,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,28,Feature,Point,-94.6427877,39.0225757,4383,f5076e1f-b0d4-403b-b935-f69c1a305099,4383,16320,BR06-Martway @ Rock Creek,,BR06-Martway @ Rock Creek <small>(16320)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BR06-Martway @ Rock Creek <small>(16320)</small></div>",Century Towers A2,26,,1771345008,1,,0
www_op,FeatureCollection,7f370bac7b98127cf35d837cdcb48d62.geojson.cache,2026-02-17 16:16:48 (UTC),02/17/2026 10:16:48 AM,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/sites.json,29,Feature,Point,-94.62602,39.0283,132,3462ea93-7321-4585-89fa-d581d30a2a21,132,16005,BR07-Mission Rd @ Rock Creek,,BR07-Mission Rd @ Rock Creek <small>(16005)</small>,"<div class=""mb-0 h3 fw-semi-bold""><i class=""fa-regular fa-flag-swallowtail""  aria-hidden=""true""></i>  BR07-Mission Rd @ Rock Creek <small>(16005)</small></div>",169.525,26,,1771345008,1,,0
