bin_start_utc,bin_end_utc,depth_5min_mm,mm_per_hr
2023-09-25 09:15:00+00:00,2023-09-25 09:20:00+00:00,0.0,0.0
2023-09-25 21:15:00+00:00,2023-09-25 21:20:00+00:00,0.0,0.0
2023-09-26 09:15:00+00:00,2023-09-26 09:20:00+00:00,0.0,0.0
2023-09-26 21:15:00+00:00,2023-09-26 21:20:00+00:00,0.0,0.0
2023-09-27 09:15:00+00:00,2023-09-27 09:20:00+00:00,0.0,0.0
2023-09-27 21:15:00+00:00,2023-09-27 21:20:00+00:00,0.0,0.0
2023-09-28 09:15:00+00:00,2023-09-28 09:20:00+00:00,0.0,0.0
2023-09-28 21:15:00+00:00,2023-09-28 21:20:00+00:00,0.0,0.0
2023-09-29 09:15:00+00:00,2023-09-29 09:20:00+00:00,0.0,0.0
2023-09-29 21:15:00+00:00,2023-09-29 21:20:00+00:00,0.0,0.0
2023-09-30 09:15:00+00:00,2023-09-30 09:20:00+00:00,0.0,0.0
2023-09-30 21:15:00+00:00,2023-09-30 21:20:00+00:00,0.0,0.0
2023-10-01 09:15:00+00:00,2023-10-01 09:20:00+00:00,0.0,0.0
2023-10-01 21:15:00+00:00,2023-10-01 21:20:00+00:00,0.0,0.0
2023-10-02 09:15:00+00:00,2023-10-02 09:20:00+00:00,0.0,0.0
2023-10-02 21:15:00+00:00,2023-10-02 21:20:00+00:00,0.0,0.0
2023-10-03 09:15:00+00:00,2023-10-03 09:20:00+00:00,0.0,0.0
2023-10-03 21:15:00+00:00,2023-10-03 21:20:00+00:00,0.0,0.0
2023-10-04 09:15:00+00:00,2023-10-04 09:20:00+00:00,0.0,0.0
2023-10-04 21:15:00+00:00,2023-10-04 21:20:00+00:00,0.0,0.0
2023-10-05 09:15:00+00:00,2023-10-05 09:20:00+00:00,0.0,0.0
2023-10-05 21:15:00+00:00,2023-10-05 21:20:00+00:00,0.0,0.0
2023-10-06 09:15:00+00:00,2023-10-06 09:20:00+00:00,0.0,0.0
2023-10-06 21:15:00+00:00,2023-10-06 21:20:00+00:00,0.0,0.0
2023-10-07 09:15:00+00:00,2023-10-07 09:20:00+00:00,0.0,0.0
2023-10-07 21:15:00+00:00,2023-10-07 21:20:00+00:00,0.0,0.0
2023-10-08 09:15:00+00:00,2023-10-08 09:20:00+00:00,0.0,0.0
2023-10-08 21:15:00+00:00,2023-10-08 21:20:00+00:00,0.0,0.0
2023-10-09 09:15:00+00:00,2023-10-09 09:20:00+00:00,0.0,0.0
2023-10-09 21:15:00+00:00,2023-10-09 21:20:00+00:00,0.0,0.0
2023-10-10 09:15:00+00:00,2023-10-10 09:20:00+00:00,0.0,0.0
2023-10-10 21:15:00+00:00,2023-10-10 21:20:00+00:00,0.0,0.0
2023-10-11 00:10:00+00:00,2023-10-11 00:15:00+00:00,1.016,12.192
2023-10-11 00:15:00+00:00,2023-10-11 00:20:00+00:00,2.032,24.384
2023-10-11 00:20:00+00:00,2023-10-11 00:25:00+00:00,2.032,24.384
2023-10-11 00:25:00+00:00,2023-10-11 00:30:00+00:00,2.032,24.384
2023-10-11 09:15:00+00:00,2023-10-11 09:20:00+00:00,0.0,0.0
2023-10-11 21:15:00+00:00,2023-10-11 21:20:00+00:00,0.0,0.0
2023-10-12 09:15:00+00:00,2023-10-12 09:20:00+00:00,0.0,0.0
2023-10-12 21:15:00+00:00,2023-10-12 21:20:00+00:00,0.0,0.0
2023-10-13 09:15:00+00:00,2023-10-13 09:20:00+00:00,0.0,0.0
2023-10-13 21:15:00+00:00,2023-10-13 21:20:00+00:00,0.0,0.0
2023-10-14 09:15:00+00:00,2023-10-14 09:20:00+00:00,0.0,0.0
2023-10-14 21:15:00+00:00,2023-10-14 21:20:00+00:00,0.0,0.0
2023-10-14 23:15:00+00:00,2023-10-14 23:20:00+00:00,1.016,12.192
2023-10-15 03:05:00+00:00,2023-10-15 03:10:00+00:00,1.016,12.192
2023-10-15 09:15:00+00:00,2023-10-15 09:20:00+00:00,0.0,0.0
2023-10-15 21:15:00+00:00,2023-10-15 21:20:00+00:00,0.0,0.0
2023-10-16 09:15:00+00:00,2023-10-16 09:20:00+00:00,0.0,0.0
2023-10-16 21:15:00+00:00,2023-10-16 21:20:00+00:00,0.0,0.0
2023-10-17 09:15:00+00:00,2023-10-17 09:20:00+00:00,0.0,0.0
2023-10-17 21:15:00+00:00,2023-10-17 21:20:00+00:00,0.0,0.0
2023-10-18 09:15:00+00:00,2023-10-18 09:20:00+00:00,0.0,0.0
2023-10-18 21:15:00+00:00,2023-10-18 21:20:00+00:00,0.0,0.0
2023-10-19 09:15:00+00:00,2023-10-19 09:20:00+00:00,0.0,0.0
2023-10-19 21:15:00+00:00,2023-10-19 21:20:00+00:00,0.0,0.0
2023-10-20 09:15:00+00:00,2023-10-20 09:20:00+00:00,0.0,0.0
2023-10-20 21:15:00+00:00,2023-10-20 21:20:00+00:00,0.0,0.0
2023-10-21 09:15:00+00:00,2023-10-21 09:20:00+00:00,0.0,0.0
2023-10-21 21:15:00+00:00,2023-10-21 21:20:00+00:00,0.0,0.0
2023-10-22 09:15:00+00:00,2023-10-22 09:20:00+00:00,0.0,0.0
2023-10-22 21:15:00+00:00,2023-10-22 21:20:00+00:00,0.0,0.0
2023-10-23 09:15:00+00:00,2023-10-23 09:20:00+00:00,0.0,0.0
2023-10-23 21:15:00+00:00,2023-10-23 21:20:00+00:00,0.0,0.0
2023-10-24 09:15:00+00:00,2023-10-24 09:20:00+00:00,0.0,0.0
2023-10-24 15:45:00+00:00,2023-10-24 15:50:00+00:00,1.016,12.192
2023-10-24 16:05:00+00:00,2023-10-24 16:10:00+00:00,1.016,12.192
2023-10-24 16:30:00+00:00,2023-10-24 16:35:00+00:00,1.016,12.192
2023-10-24 17:00:00+00:00,2023-10-24 17:05:00+00:00,1.016,12.192
2023-10-24 17:15:00+00:00,2023-10-24 17:20:00+00:00,1.016,12.192
2023-10-24 17:25:00+00:00,2023-10-24 17:30:00+00:00,1.016,12.192
2023-10-24 17:30:00+00:00,2023-10-24 17:35:00+00:00,1.016,12.192
2023-10-24 17:35:00+00:00,2023-10-24 17:40:00+00:00,1.016,12.192
2023-10-24 17:40:00+00:00,2023-10-24 17:45:00+00:00,1.016,12.192
2023-10-24 17:45:00+00:00,2023-10-24 17:50:00+00:00,2.032,24.384
2023-10-24 17:50:00+00:00,2023-10-24 17:55:00+00:00,2.032,24.384
2023-10-24 17:55:00+00:00,2023-10-24 18:00:00+00:00,2.032,24.384
2023-10-24 18:05:00+00:00,2023-10-24 18:10:00+00:00,1.016,12.192
2023-10-24 18:20:00+00:00,2023-10-24 18:25:00+00:00,1.016,12.192
2023-10-24 18:40:00+00:00,2023-10-24 18:45:00+00:00,1.016,12.192
2023-10-24 18:55:00+00:00,2023-10-24 19:00:00+00:00,1.016,12.192
2023-10-24 19:25:00+00:00,2023-10-24 19:30:00+00:00,1.016,12.192
2023-10-24 20:05:00+00:00,2023-10-24 20:10:00+00:00,1.016,12.192
2023-10-24 20:10:00+00:00,2023-10-24 20:15:00+00:00,1.016,12.192
2023-10-24 20:55:00+00:00,2023-10-24 21:00:00+00:00,1.016,12.192
