id,a_km,b,nugget,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3
12339121,44.617,1.713,0,16036,3491.293961,115.7188142,0.239096951,16046,1390.662344,260.1942456,0.639455533,16037,3946.725441,4.322336339,0.121447517
12339120,44.617,1.713,0,16037,2839.189187,5.584038767,0.361337248,16036,4080.529084,130.0354785,0.153108143,16046,1936.42997,225.9395612,0.485554609
12339103,44.617,1.713,0,16017,4873.148616,154.8591089,0.377840456,16060,4792.828753,304.5628476,0.412076376,16053,5379.076212,57.03666318,0.210083168
12339102,44.617,1.713,0,16064,2681.696746,32.03940319,0.092727138,16062,429.0749489,280.9305612,0.85940609,16017,5889.273594,159.6391188,0.047866772
12339101,44.617,1.713,0,16064,1821.366408,50.30071379,0.328251222,16062,1119.636258,203.2831132,0.4576267,16059,1427.475411,284.9606637,0.214122079
12339100,44.617,1.713,0,16064,1381.135163,87.77612408,0.703705434,16062,2188.006079,192.2391748,0.086192647,16060,4056.923752,261.3460185,0.210101919
12339099,44.617,1.713,0,16064,1721.042067,127.8585021,0.974360065,16062,3284.124418,188.4947121,-0.322313375,16060,4383.656551,246.8945722,0.34795331
12384611,44.617,1.713,0,16045,4009.280585,176.9424846,0.517243495,16020,4644.385709,262.4403854,-0.006017718,16008,4229.718238,343.4539304,0.488774224
12384610,44.617,1.713,0,16045,5117.045629,177.8250162,0.329937004,2320,4426.41363,60.51505051,0.274219456,16029,4009.190987,318.0795483,0.39584354
12384609,44.617,1.713,0,16019,2368.299888,247.1352708,0.589918895,2320,3979.698953,74.42016721,0.347899842,16010,4332.209256,332.9492558,0.062181262
12384608,44.617,1.713,0,2320,3814.035527,90.61470685,0.34480256,16019,2994.854824,227.3255415,0.373431935,16010,3393.191812,324.0961782,0.281765504
12384607,44.617,1.713,0,1720,1173.357111,49.61056692,0.702127797,16010,2592.97387,309.1962176,0.102357125,16019,3846.236374,215.2808818,0.195515078
12384606,44.617,1.713,0,1720,941.3112248,111.794027,0.666431844,16095,2938.772514,2.24890144,0.151524161,16029,3118.01525,242.1619965,0.182043995
