id,Latitude,Longitude,radius_used_km,g1,d1_m,b1_deg,g2,d2_m,b2_deg,g3,d3_m,b3_deg,g4,d4_m,b4_deg,g5,d5_m,b5_deg,g6,d6_m,b6_deg,g7,d7_m,b7_deg,g8,d8_m,b8_deg,g9,d9_m,b9_deg,g10,d10_m,b10_deg
2812.0,39.015547,-94.769459,7,16059,2075.222055215179,159.37483378175648,16060,2642.672924386818,225.2048056838218,16064,3655.9379192952306,107.37808508508624,16062,3729.17792228767,153.01298224750883,16058,4121.211947966324,260.4836806452016,16063,4846.428086188965,269.2985623206096,16090,6174.817437676407,98.60185958238105,16061,6442.013462009087,224.11230608269,16052,6522.32790740152,83.68978686669499,16057,6657.882401871693,216.1986060558469
2813.0,39.015547,-94.765292,7,16059,1977.33361071818,169.1885822007913,16060,2909.2321605735815,230.2092624669546,16064,3314.106937425709,109.24014033457502,16062,3580.218761718734,158.15661271972556,16058,4476.665987547168,261.24800634336594,16063,5206.414433523239,269.34959644556176,16090,5819.106089483823,99.13474593131377,16052,6164.623750011615,83.32471466484225,16053,6375.8023510374405,103.50979438865443,16061,6697.600796018267,226.32663880491776
2814.0,39.015547,-94.761125,7,16059,1942.2744978298701,179.6813424337481,16064,2976.5718339439904,111.52709200757914,16060,3194.185511420802,234.3482061322411,16062,3462.4399898081315,163.69758921502284,16058,4832.797081387677,261.899979948681,16090,5463.960815496804,99.73679209462682,16063,5566.404191995733,269.39419930556295,16052,5807.202714769837,82.91452356119282,16053,6026.341428774338,104.31213186744378,16054,6665.618926766158,72.16883020926747
2815.0,39.015547,-94.756958,7,16059,1973.396217000974,190.1952734583913,16064,2644.9777586950113,114.39270064242851,16060,3493.0342302094373,237.79469518958476,16062,3379.103561833084,169.56939745445186,16090,5109.499656020043,100.42227190141409,16058,5189.465840580022,262.46257868671944,16052,5450.1205045663955,82.45038389364942,16053,5678.2032269309075,105.21288752392928,16063,5926.396739308984,269.43354282664023,16054,6323.859734846234,71.17266963487845
2816.0,39.015547,-94.752791,7,16059,2067.7126059682605,200.064859237524,16064,2321.8714823823443,118.06694373004927,16058,5546.568542673756,262.95294515956783,16054,5984.235732051711,70.06292032613504,16062,3332.794169862971,175.6704184815062,16060,3802.5035063819596,240.68951679421525,16090,4755.875577987887,101.20962104004514,16052,5093.448381917391,81.92101791691715,16053,5331.64685988874,106.23084913723744,16063,6286.391595658976,269.46853051179386
2817.0,39.015547,-94.748624,7,16064,2011.3476566999866,122.90068159446963,16059,2217.173560851854,208.84032529158142,16054,5647.132169329723,68.8200065114583,16058,5904.026446920686,263.38412043828686,16062,3325.059243819576,181.87096754293918,16060,4120.200896138769,243.14360204797998,16090,4403.290262506083,102.12304653327794,16052,4737.278975655288,81.31179545237154,16053,4987.002113579073,107.38973699775136,16063,6646.388385153563,269.49987012768594
2818.0,39.015547,-94.744457,7,16064,1720.233703031205,129.4309114139039,16059,2411.547669468013,216.35694604561212,16052,4381.734878265838,80.60340083677147,16058,6261.778722061793,263.76619661418647,16062,3356.1655010464356,188.02817949676856,16090,4052.0148826682976,103.19492908194093,16060,4444.362232496048,245.2432836844234,16053,4644.694545458544,108.71985962132777,16054,5313.028823332535,67.41987727467927,16050,6911.117794546559,68.25566998508077
2819.0,39.015547,-94.74029,7,16064,1460.1852532402336,138.44320114577454,16059,2640.9365968377583,222.66230009344784,16052,4026.981720439456,79.7698168157981,16062,3425.0548411300806,194.00500349129763,16090,3702.4223070849544,104.46950126121408,16053,4305.281670785758,110.26044020443408,16060,4773.670872347002,247.0556151764521,16054,4982.529269710265,65.83276942503267,16050,6578.0715991398065,67.09659667591745,16058,6619.777641568243,264.10710281123033
2820.0,39.015547,-94.736123,7,16064,1250.7319217358665,150.88452738169508,16059,2897.0347660523053,227.90795671749189,16052,3673.2486710614317,78.77518547347404,16090,3355.038618772758,106.00863887571802,16062,3529.515598057987,199.68735287027573,16053,3969.5060926733404,112.06292094883247,16054,4656.4009366540695,64.02159857643426,16060,5107.131215248102,248.63286101577657,16050,6248.010460656664,65.81435096195236,16006,6396.337652270899,135.50967820827861
2821.0,39.015547,-94.731956,7,16064,1120.6123741242518,167.18747334375087,16090,3010.6285381736534,107.90126045444322,16059,3173.382287205104,232.27181374821583,16054,4335.6303535016905,61.93988429626188,16052,3320.8617281086927,77.56875659704423,16053,3638.374979482967,114.19569289714576,16062,3666.5086861283044,204.9944725027253,16060,5443.980400731409,250.01602403220653,16050,5921.433562758224,64.38974139911772,16006,6149.41705097448,137.90592026558642
