station,nominal_step_seconds,n_missing_ranges_ge_min_gap,output_csv
2620.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2620.hourly_mm_missing_ranges.csv
2630.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2630.hourly_mm_missing_ranges.csv
2640.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2640.hourly_mm_missing_ranges.csv
2650.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2650.hourly_mm_missing_ranges.csv
2700.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2700.hourly_mm_missing_ranges.csv
2710.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2710.hourly_mm_missing_ranges.csv
2720.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2720.hourly_mm_missing_ranges.csv
2730.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2730.hourly_mm_missing_ranges.csv
2740.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2740.hourly_mm_missing_ranges.csv
2790.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2790.hourly_mm_missing_ranges.csv
2800.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2800.hourly_mm_missing_ranges.csv
2840.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2840.hourly_mm_missing_ranges.csv
2890.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2890.hourly_mm_missing_ranges.csv
2900.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2900.hourly_mm_missing_ranges.csv
3000.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3000.hourly_mm_missing_ranges.csv
3600.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3600.hourly_mm_missing_ranges.csv
3620.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3620.hourly_mm_missing_ranges.csv
3640.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/3640.hourly_mm_missing_ranges.csv
