time,event_raw_value_str,event_value,event_unit,hourly_value
2012-02-20 20:00:09+00:00,0.04,1.016,mm,
2012-02-21 01:39:27+00:00,0.0,0.0,mm,
2012-02-21 13:38:58+00:00,0.0,0.0,mm,
2012-02-22 01:38:59+00:00,0.0,0.0,mm,
2012-02-22 13:38:59+00:00,0.0,0.0,mm,
2012-02-23 01:39:00+00:00,0.0,0.0,mm,
2012-02-23 13:39:01+00:00,0.0,0.0,mm,
2012-02-24 01:39:01+00:00,0.0,0.0,mm,
2012-02-24 13:39:02+00:00,0.0,0.0,mm,
2012-02-25 01:39:03+00:00,0.0,0.0,mm,
2012-02-25 13:39:04+00:00,0.0,0.0,mm,
2012-02-26 01:39:04+00:00,0.0,0.0,mm,
2012-02-26 13:39:05+00:00,0.0,0.0,mm,
2012-02-27 01:39:06+00:00,0.0,0.0,mm,
2012-02-27 13:39:06+00:00,0.0,0.0,mm,
2012-02-28 01:39:07+00:00,0.0,0.0,mm,
2012-02-28 13:31:28+00:00,0.04,1.016,mm,
2012-02-28 13:39:08+00:00,0.0,0.0,mm,
2012-02-28 13:51:36+00:00,0.04,1.016,mm,
2012-02-28 14:58:37+00:00,0.04,1.016,mm,
2012-02-28 22:07:25+00:00,0.04,1.016,mm,
2012-02-28 22:07:57+00:00,0.04,1.016,mm,
2012-02-28 22:08:40+00:00,0.04,1.016,mm,
2012-02-29 01:39:08+00:00,0.0,0.0,mm,
2012-02-29 13:39:09+00:00,0.0,0.0,mm,
2012-03-01 01:39:10+00:00,0.0,0.0,mm,
2012-03-01 13:39:10+00:00,0.0,0.0,mm,
2012-03-02 01:39:11+00:00,0.0,0.0,mm,
2012-03-02 10:04:52+00:00,0.04,1.016,mm,
2012-03-02 11:03:49+00:00,0.04,1.016,mm,
2012-03-02 11:49:04+00:00,0.04,1.016,mm,
2012-03-02 13:39:12+00:00,0.0,0.0,mm,
2012-03-03 01:39:12+00:00,0.0,0.0,mm,
2012-03-03 13:39:13+00:00,0.0,0.0,mm,
2012-03-04 01:39:14+00:00,0.0,0.0,mm,
