time,event_raw_value_str,event_value,event_unit
2013-09-17 08:01:46+00:00,0.04,1.016,mm
2013-09-17 08:18:48+00:00,0.04,1.016,mm
2013-09-17 08:29:10+00:00,0.04,1.016,mm
2013-09-17 08:38:12+00:00,0.04,1.016,mm
2013-09-17 08:44:03+00:00,0.04,1.016,mm
2013-09-17 08:47:06+00:00,0.04,1.016,mm
2013-09-17 08:49:09+00:00,0.04,1.016,mm
2013-09-17 08:58:39+00:00,0.08,2.032,mm
2013-09-17 09:09:51+00:00,0.04,1.016,mm
2013-09-17 09:22:20+00:00,0.04,1.016,mm
2013-09-17 09:29:16+00:00,0.04,1.016,mm
2013-09-17 09:42:06+00:00,0.04,1.016,mm
2013-09-17 10:01:59+00:00,0.04,1.016,mm
2013-09-17 10:13:07+00:00,0.04,1.016,mm
2013-09-17 10:21:04+00:00,0.04,1.016,mm
2013-09-17 10:32:34+00:00,0.04,1.016,mm
2013-09-17 16:31:43+00:00,0.0,0.0,mm
2013-09-18 04:29:47+00:00,0.0,0.0,mm
2013-09-18 16:27:51+00:00,0.0,0.0,mm
2013-09-19 04:25:55+00:00,0.0,0.0,mm
2013-09-19 16:23:59+00:00,0.0,0.0,mm
2013-09-19 18:13:24+00:00,0.04,1.016,mm
2013-09-19 18:18:42+00:00,0.04,1.016,mm
2013-09-19 18:22:24+00:00,0.04,1.016,mm
2013-09-19 18:23:46+00:00,0.08,2.032,mm
2013-09-19 18:24:22+00:00,0.04,1.016,mm
2013-09-19 18:25:03+00:00,0.04,1.016,mm
2013-09-19 18:28:41+00:00,0.08,2.032,mm
2013-09-19 18:30:38+00:00,0.08,2.032,mm
2013-09-19 18:31:37+00:00,0.04,1.016,mm
2013-09-19 18:33:27+00:00,0.04,1.016,mm
2013-09-19 18:35:53+00:00,0.04,1.016,mm
2013-09-19 18:36:58+00:00,0.04,1.016,mm
2013-09-19 18:41:20+00:00,0.12,3.0479999999999996,mm
2013-09-19 18:44:31+00:00,0.04,1.016,mm
2013-09-19 18:57:11+00:00,0.08,2.032,mm
2013-09-19 20:15:56+00:00,0.08,2.032,mm
2013-09-19 20:19:06+00:00,0.04,1.016,mm
2013-09-19 20:21:40+00:00,0.04,1.016,mm
2013-09-19 20:25:33+00:00,0.04,1.016,mm
2013-09-19 20:30:24+00:00,0.04,1.016,mm
2013-09-19 20:32:30+00:00,0.04,1.016,mm
2013-09-19 20:33:43+00:00,0.04,1.016,mm
2013-09-19 20:35:15+00:00,0.04,1.016,mm
2013-09-19 20:37:11+00:00,0.04,1.016,mm
2013-09-19 20:47:21+00:00,0.12,3.0479999999999996,mm
2013-09-19 20:57:01+00:00,0.04,1.016,mm
2013-09-19 21:13:48+00:00,0.04,1.016,mm
2013-09-19 21:25:27+00:00,0.04,1.016,mm
2013-09-20 04:22:02+00:00,0.0,0.0,mm
2013-09-20 16:20:06+00:00,0.0,0.0,mm
2013-09-21 04:18:10+00:00,0.0,0.0,mm
2013-09-21 16:16:14+00:00,0.0,0.0,mm
2013-09-22 04:14:18+00:00,0.0,0.0,mm
2013-09-22 16:12:23+00:00,0.0,0.0,mm
2013-09-23 04:10:27+00:00,0.0,0.0,mm
2013-09-23 16:08:31+00:00,0.0,0.0,mm
2013-09-24 04:06:35+00:00,0.0,0.0,mm
2013-09-24 16:04:39+00:00,0.0,0.0,mm
2013-09-25 04:02:43+00:00,0.0,0.0,mm
2013-09-25 16:00:47+00:00,0.0,0.0,mm
2013-09-26 03:58:51+00:00,0.0,0.0,mm
2013-09-26 15:56:55+00:00,0.0,0.0,mm
2013-09-27 03:54:59+00:00,0.0,0.0,mm
2013-09-27 15:53:03+00:00,0.0,0.0,mm
2013-09-28 03:51:07+00:00,0.0,0.0,mm
2013-09-28 07:13:44+00:00,0.04,1.016,mm
2013-09-28 07:15:51+00:00,0.04,1.016,mm
2013-09-28 07:17:09+00:00,0.04,1.016,mm
2013-09-28 07:18:44+00:00,0.04,1.016,mm
2013-09-28 07:20:08+00:00,0.04,1.016,mm
2013-09-28 07:24:46+00:00,0.04,1.016,mm
2013-09-28 07:50:24+00:00,0.04,1.016,mm
2013-09-28 08:03:11+00:00,0.04,1.016,mm
2013-09-28 08:12:40+00:00,0.04,1.016,mm
2013-09-28 08:21:04+00:00,0.04,1.016,mm
2013-09-28 08:39:26+00:00,0.08,2.032,mm
2013-09-28 10:08:22+00:00,0.04,1.016,mm
2013-09-28 10:44:49+00:00,0.04,1.016,mm
2013-09-28 12:56:36+00:00,0.04,1.016,mm
2013-09-28 15:49:10+00:00,0.0,0.0,mm
2013-09-29 03:47:14+00:00,0.0,0.0,mm
2013-09-29 04:16:47+00:00,0.04,1.016,mm
2013-09-29 15:45:19+00:00,0.0,0.0,mm
2013-09-30 03:43:23+00:00,0.0,0.0,mm
2013-09-30 15:41:27+00:00,0.0,0.0,mm
2013-10-01 03:39:31+00:00,0.0,0.0,mm
2013-10-01 15:37:35+00:00,0.0,0.0,mm
2013-10-02 03:35:39+00:00,0.0,0.0,mm
2013-10-02 15:33:43+00:00,0.0,0.0,mm
2013-10-03 03:31:47+00:00,0.0,0.0,mm
2013-10-03 10:19:58+00:00,0.04,1.016,mm
2013-10-03 10:21:49+00:00,0.04,1.016,mm
2013-10-03 10:23:41+00:00,0.04,1.016,mm
2013-10-03 10:26:03+00:00,0.04,1.016,mm
2013-10-03 10:27:03+00:00,0.04,1.016,mm
2013-10-03 10:28:09+00:00,0.04,1.016,mm
2013-10-03 10:29:13+00:00,0.04,1.016,mm
2013-10-03 10:29:55+00:00,0.04,1.016,mm
2013-10-03 10:30:22+00:00,0.04,1.016,mm
2013-10-03 10:30:53+00:00,0.04,1.016,mm
2013-10-03 10:31:27+00:00,0.04,1.016,mm
2013-10-03 10:32:01+00:00,0.04,1.016,mm
2013-10-03 10:32:42+00:00,0.04,1.016,mm
2013-10-03 10:33:38+00:00,0.04,1.016,mm
2013-10-03 10:34:27+00:00,0.04,1.016,mm
2013-10-03 10:35:19+00:00,0.04,1.016,mm
2013-10-03 10:36:33+00:00,0.04,1.016,mm
2013-10-03 10:37:43+00:00,0.04,1.016,mm
2013-10-03 10:58:34+00:00,0.12,3.0479999999999996,mm
