,station1,station2,distance_km,correlation
8776,3920,7050,25.791782588569585,-0.12313323785851478
8777,3920,3940,3.2456111135572914,0.8027629481369237
8778,3920,3760,4.717137250743987,0.9117978872873623
8779,3920,3660,17.924082989645438,0.15257976372054602
8780,3920,3690,13.393370579502498,0.1029617708844125
8781,3920,16025,41.27141163490014,-0.570700401292374
8782,3920,16023,43.37925139379207,-0.5360280307204491
8783,3920,16024,42.49810255265635,-0.4752183058747351
8784,3920,16021,41.18100786565448,-0.2537635593013659
8785,3920,16022,40.2040332744097,-0.2254291762215127
8786,3920,16026,40.685479209909,-0.16802140853594041
8787,3920,16027,38.06729538962398,-0.49974957565417644
8788,3920,16020,37.748572146939814,-1.0
8789,3920,16019,35.01249717349071,0.9971764649527379
8790,3920,16053,28.02950413396114,-0.18898223650461363
8791,3920,16090,27.87747865683404,-0.475861491590183
8792,3920,16052,26.387433828348517,0.4325904563487
8793,3920,16054,25.01310770541158,-0.19023424881952536
8794,3920,16051,22.388100425589773,0.6556100681071857
8795,3920,3000,19.490294249151344,0.05842111610546377
8796,3920,2900,17.271845081678425,0.2943053548326982
8797,3920,1010,11.995627038419627,0.7052656475872311
8798,3920,16032,51.39211467354081,0.944911182523068
8799,3920,16033,54.82789057373936,0.944911182523068
8800,3920,16031,52.928768716722914,-0.5920439000002726
8801,3920,16036,50.04776828802205,-0.27363686699853185
8802,3920,16034,50.53332597462497,-0.49999999999999994
8803,16067,16055,6.708862165473494,0.9055776729637796
8804,16067,16066,8.79156717488245,0.8702283741231873
8805,16067,16057,11.091529706128464,0.9230270718427697
8806,16067,16061,11.848542565564431,0.9424235837033419
8807,16067,16075,14.341909768485257,0.8813824925647271
8808,16067,16065,18.165642173878123,0.7537678752361376
8809,16067,16064,17.09080206709635,0.613369116825181
8810,16067,16062,14.3142278867375,0.7091501083436684
8811,16067,16059,15.264145023893654,0.6453243406824167
8812,16067,16060,14.747556204393629,0.7367467156353449
8813,16067,16058,15.775027648331536,0.8537700842010457
8814,16067,16063,16.418835983616876,0.7951398066750315
8815,16067,3700,47.267874885587666,-0.3739271808790061
8816,16067,2620,57.082855426598464,-0.5700505813162441
8817,16067,2600,52.1552055604725,-0.532519605605035
8818,16067,2650,41.599787584530496,-0.5035252797542501
8819,16067,3980,50.81161379011242,-0.37044021661500987
8820,16067,2630,53.17658775497677,-0.6630797815858719
8821,16067,2640,41.271773921930006,-0.6387024131288931
8822,16067,16030,10.635787835888959,0.7488810954425567
8823,16067,16043,12.932624918934785,0.8931792774545234
8824,16067,16042,14.633024280456468,0.7958782896169979
8825,16067,16044,16.150091428192813,0.6621521977113998
8826,16067,16045,17.700782933480877,0.4471486210761129
8827,16067,3820,43.0380923237103,-0.22802042853035429
8828,16067,3800,42.402732690867154,-0.3511563040238038
8829,16067,4150,43.377767448150536,-0.610018193159706
8830,16067,3740,47.93411535547063,-0.38768226953378804
8831,16067,3900,39.5317782036369,-0.36261531386595086
8832,16067,3680,46.39084373387465,-0.4187986265204934
8833,16067,3880,41.11631699769518,-0.41822987626729774
8834,16067,7000,26.86939396720017,0.04978051746854642
8835,16067,7060,32.27781571184451,-0.2934537326060479
8836,16067,7050,25.37213305344289,-0.4745789978762495
8837,16067,3940,44.27304419767202,-0.4650544143507176
8838,16067,3760,46.50045965122177,-0.3643880462161016
8839,16067,3660,50.7992195475761,-0.6369076392980134
8840,16067,3690,51.239094536537706,-0.6282252226115502
8841,16067,16025,6.603602100909905,0.6379770184928161
8842,16067,16023,7.8841555070724025,0.6467238305738634
8843,16067,16024,6.372881553678993,0.5510878210861838
8844,16067,16021,8.03094832808399,0.5351454156705377
8845,16067,16022,10.007482632725221,0.6352471591101528
8846,16067,16026,10.569079694996908,0.7911092758490688
8847,16067,16027,10.597967242982694,0.4300861285998832
8848,16067,16020,13.014819222739218,-0.18789774028006345
8849,16067,16019,15.825528506865298,0.6008174169275163
8850,16067,16053,18.31952923201019,0.46612219265937627
8851,16067,16090,18.53158633937248,0.5948848848553523
8852,16067,16052,20.118759917229287,0.15711222408652478
8853,16067,16054,21.552581119064385,0.513579188808389
8854,16067,16051,23.972065065170852,0.300921302422901
8855,16067,3000,26.845863084653587,-0.40526119333692706
8856,16067,2900,29.090465984036566,-0.6314801566485463
8857,16067,1010,34.505241909109294,-0.540336773646669
8858,16067,16032,6.1331345246284386,0.9902206786242319
8859,16067,16033,11.216107292634216,0.9812433573699084
8860,16067,16031,12.54060243570825,0.9297779827491277
8861,16067,16036,13.270511301044209,0.6121603043120833
8862,16067,16047,13.640840615098886,0.7217183705171282
8863,16067,16034,16.53420313198286,0.8058196504445643
8864,16055,16066,4.067263735157776,0.8156172757427242
8865,16055,16057,4.504861445329203,0.9082570843157824
8866,16055,16061,5.352647848788858,0.9175774445440967
8867,16055,16075,8.390296185061556,0.7834035594275289
8868,16055,16065,11.914942746683764,0.6945157428979287
8869,16055,16064,10.95578214289283,0.5412565269518557
8870,16055,16062,8.092965664741099,0.6714967827816315
8871,16055,16059,8.766597218668585,0.5848712123335782
8872,16055,16060,8.040770573583579,0.7402831727535369
8873,16055,16058,9.164930180642685,0.7447630633682208
8874,16055,16063,9.887691441072981,0.7327985602530621
8875,16055,3700,41.31066661112744,-0.08804509063256237
8876,16055,2620,51.131002585719656,-0.5299265497239418
8877,16055,2600,45.76761407903298,-0.8683951026737924
8878,16055,2650,35.86170503764344,0.9958705948858224
8879,16055,3980,45.06053064793313,-0.3394500514782104
8880,16055,2630,47.246408357535586,-0.7205766921228921
8881,16055,2640,35.32167240602931,0.04897021068743914
8882,16055,16030,12.608368758016661,0.797689596090166
8883,16055,16043,14.688356426037855,0.8533703975612854
8884,16055,16042,16.315299836113596,0.6204798190017901
8885,16055,16044,17.35536870798075,0.5003248169434019
8886,16055,16045,18.46352036286995,0.17662805732010944
8887,16055,3820,36.72745689051266,-0.007544377109200047
8888,16055,3800,36.01963020258569,0.4111539757591018
8889,16055,4150,36.799994212781634,0.09918303423219792
8890,16055,3740,41.73690486541052,0.6341369567134354
8891,16055,3900,33.34489967875271,-0.14567051619580168
8892,16055,3680,40.51175808319302,-0.14758680336535362
8893,16055,3880,34.65826384068476,-0.5764503037395229
8894,16055,7000,20.88550477383029,0.032618593340758645
8895,16055,7060,25.761670789638853,0.419095766692176
8896,16055,7050,18.692567336076056,-0.777713771047819
8897,16055,3940,38.400586267964535,0.3572172541558801
8898,16055,3760,41.24139111230723,-0.09543780925739022
8899,16055,3660,44.1919226668288,-0.7595804659396361
8900,16055,3690,44.80018962690377,-0.7525963995362249
8901,16055,16025,7.365391732162023,0.8376919904598978
8902,16055,16023,10.64355495249485,0.8439017313176391
8903,16055,16024,8.386856120551496,0.8069574706941693
8904,16055,16021,9.142999190655914,0.7831545106315467
8905,16055,16022,10.72991889175507,0.7680396844636098
8906,16055,16026,11.693636198070044,0.8772123141128095
8907,16055,16027,9.78683232760594,0.5689741161410761
8908,16055,16020,12.697608885050112,-0.00379149703717238
8909,16055,16019,14.566108381553937,0.48092015173094554
8910,16055,16053,12.793305300505377,0.2900535284915031
8911,16055,16090,12.83463492714792,0.3600246116507244
8912,16055,16052,14.270205345357503,0.0007910894801061823
8913,16055,16054,15.64623043531102,0.2533917917625014
8914,16055,16051,18.322366069528528,0.15801941050510507
8915,16055,2900,23.63076246038013,-0.1555427542095638
8916,16055,1010,29.092537839628992,-0.8164965809277258
8917,16055,16032,12.820779181969668,0.8365470310524448
8918,16055,16033,17.777671322850757,0.8112569283501417
8919,16055,16031,18.453952916289328,0.9686897805001826
8920,16055,16036,18.214661616640456,0.8683011649351838
8921,16055,16047,17.48133697742898,0.8618439993709066
8922,16055,16034,21.103659504885414,0.8964983337606809
8923,16066,16057,4.040574077376739,0.9287427878466342
8924,16066,16061,4.255243814951435,0.9354575633019016
8925,16066,16075,5.666967562074468,0.9552352704812319
8926,16066,16065,9.592933184914887,0.8960125504938667
